date_time,deusdc,am3crv,deusdc_percent,am3crv_percent,ideal
2022-07-17T00:00:00+00:00,373169.43167600000000000000,366115.520643829046945620000000,0.504770766001686,0.49522923399831403,0.5
2022-07-16T00:00:00+00:00,407579.81315400000000000000,333585.496549204495726668000000,0.5499175525595135,0.4500824474404866,0.5
2022-07-15T00:00:00+00:00,416618.04262500000000000000,325035.118463853360314573000000,0.5617424215024512,0.4382575784975488,0.5
2022-07-14T00:00:00+00:00,430780.12068500000000000000,311652.015958221876876656000000,0.5802282786851033,0.41977172131489676,0.5
2022-07-13T00:00:00+00:00,447039.15960700000000000000,296835.179878685942878056000000,0.6009605868594452,0.3990394131405548,0.5
2022-07-12T00:00:00+00:00,419556.13833700000000000000,322747.226872177227715394000000,0.5652084551964428,0.43479154480355714,0.5
2022-07-11T00:00:00+00:00,397349.32831800000000000000,343658.116514149096278682000000,0.5362285238686184,0.4637714761313816,0.5
2022-07-10T00:00:00+00:00,387027.03036900000000000000,353405.390772562249866856000000,0.5227040568703094,0.47729594312969065,0.5
2022-07-09T00:00:00+00:00,383601.85640900000000000000,356638.752062755332250610000000,0.5182123920504109,0.4817876079495891,0.5
2022-07-08T00:00:00+00:00,388463.96078200000000000000,352032.629220008472320638000000,0.5245992568054181,0.475400743194582,0.5
2022-07-07T00:00:00+00:00,352679.84748000000000000000,385848.219273798851210662000000,0.4775442713101003,0.5224557286898996,0.5
2022-07-06T00:00:00+00:00,349436.78290200000000000000,388906.938887949462477062000000,0.4732711508061158,0.5267288491938842,0.5
2022-07-05T00:00:00+00:00,346478.62865200000000000000,391700.669696827034112999000000,0.4693692026137955,0.5306307973862044,0.5
2022-07-04T00:00:00+00:00,339560.83716600000000000000,398242.039649769907304999000000,0.46023246565733933,0.5397675343426607,0.5
2022-07-03T00:00:00+00:00,381325.47332100000000000000,358708.833343117210526526000000,0.5152808050749922,0.48471919492500776,0.5
2022-07-02T00:00:00+00:00,382430.91660300000000000000,358867.238309375822192556000000,0.5158935228271339,0.4841064771728661,0.5
2022-07-01T00:00:00+00:00,382772.12463700000000000000,360279.928799422865660157000000,0.5151350068501639,0.48486499314983617,0.5
2022-06-30T00:00:00+00:00,384532.31487900000000000000,358613.290849323665346557000000,0.5174387252174318,0.48256127478256816,0.5
2022-06-29T00:00:00+00:00,385799.60931300000000000000,362157.076763010980616247000000,0.5158047471131145,0.48419525288688553,0.5
2022-06-28T00:00:00+00:00,391370.00179800000000000000,356885.520333944877836699000000,0.5230432522340772,0.4769567477659228,0.5
2022-06-27T00:00:00+00:00,385934.26998500000000000000,362108.677872062069897799000000,0.5159252835557048,0.4840747164442953,0.5
2022-06-26T00:00:00+00:00,337051.66923000000000000000,408278.418199836739408861000000,0.4522179835678901,0.5477820164321099,0.5
2022-06-25T00:00:00+00:00,363021.28260300000000000000,383512.994890910720919632000000,0.4862754377758107,0.5137245622241893,0.5
2022-06-24T00:00:00+00:00,319147.31789000000000000000,425434.480829259784366662000000,0.4286262683817398,0.5713737316182602,0.5
2022-06-23T00:00:00+00:00,322020.55692000000000000000,422643.409775374968918273000000,0.4324374097877241,0.5675625902122758,0.5
2022-06-22T00:00:00+00:00,364976.17994600000000000000,381904.559340197172789652000000,0.48866728079614435,0.5113327192038556,0.5
2022-06-21T00:00:00+00:00,341235.18103500000000000000,404297.417230927260593562000000,0.4577065869804976,0.5422934130195024,0.5
2022-06-20T00:00:00+00:00,380436.25624000000000000000,367159.015302011838702663000000,0.5088799658340549,0.4911200341659451,0.5
2022-06-19T00:00:00+00:00,371772.94099700000000000000,375237.654433611556432890000000,0.49768094759444853,0.5023190524055514,0.5
2022-06-18T00:00:00+00:00,386106.90981000000000000000,361551.571650034763245946000000,0.516421493749401,0.483578506250599,0.5
2022-06-17T00:00:00+00:00,386125.67742200000000000000,362537.622845848015634121000000,0.5157534465544878,0.4842465534455122,0.5
2022-06-16T00:00:00+00:00,390513.14227200000000000000,359214.886343547445975930000000,0.5208730731237621,0.479126926876238,0.5
2022-06-15T00:00:00+00:00,389319.79373600000000000000,360325.310728698195311214000000,0.5193388063462416,0.4806611936537583,0.5
2022-06-14T00:00:00+00:00,400564.53750900000000000000,349665.799121229019395614000000,0.533922074263479,0.46607792573652096,0.5
2022-06-13T00:00:00+00:00,629984.07984700000000000000,608532.559175568589073188000000,0.5086601665232212,0.4913398334767788,0.5
2022-06-12T00:00:00+00:00,606184.36997400000000000000,631059.499254010176718388000000,0.48994736207683487,0.5100526379231651,0.5
2022-06-11T00:00:00+00:00,592704.56380900000000000000,643996.196105253235407949000000,0.4792627149756868,0.5207372850243133,0.5
2022-06-10T00:00:00+00:00,588018.19311400000000000000,648412.572005500811499662000000,0.4755771287017176,0.5244228712982824,0.5
2022-06-09T00:00:00+00:00,625756.61195500000000000000,612604.734149675954797900000000,0.50531019392954,0.49468980607046,0.5
2022-06-08T00:00:00+00:00,621263.95916700000000000000,616824.705138866457198128000000,0.5017927851841784,0.4982072148158216,0.5
2022-06-07T00:00:00+00:00,600265.90796000000000000000,636676.663973182993315815000000,0.4852819537303669,0.514718046269633,0.5
2022-06-06T00:00:00+00:00,598021.91641500000000000000,638755.995790702935226980000000,0.4835321770490481,0.516467822950952,0.5
2022-06-05T00:00:00+00:00,584011.44569600000000000000,651997.173150294844480352000000,0.4724978748458269,0.527502125154173,0.5
2022-06-04T00:00:00+00:00,585302.29555900000000000000,650706.171721867998649738000000,0.47354230254314034,0.5264576974568597,0.5
2022-06-03T00:00:00+00:00,640028.31138000000000000000,599326.217851951286040852000000,0.5164206821244574,0.48357931787554265,0.5
2022-06-02T00:00:00+00:00,666687.69382500000000000000,574133.517426152946258677000000,0.5372955328131126,0.4627044671868874,0.5
2022-06-01T00:00:00+00:00,690888.37511700000000000000,551170.354772825765185077000000,0.5562445305450925,0.44375546945490746,0.5
2022-05-31T00:00:00+00:00,679358.95418800000000000000,563956.120871541436846248000000,0.546409327623946,0.453590672376054,0.5
2022-05-30T00:00:00+00:00,681365.96972500000000000000,562016.794545827263449472000000,0.5479937387780842,0.4520062612219158,0.5
2022-05-29T00:00:00+00:00,673870.53090400000000000000,569638.452502133232413498000000,0.5419104645775704,0.45808953542242953,0.5
2022-05-28T00:00:00+00:00,669482.22200500000000000000,573205.794949145148030007000000,0.5387371672303682,0.46126283276963176,0.5
2022-05-27T00:00:00+00:00,665199.84340800000000000000,577331.778506510230450891000000,0.5353584823725055,0.4646415176274945,0.5
2022-05-26T00:00:00+00:00,657520.50007500000000000000,579807.009955035032699660000000,0.5314037671877507,0.4685962328122493,0.5
2022-05-25T00:00:00+00:00,658357.34404900000000000000,579391.493039980911805562000000,0.5318989800849808,0.4681010199150192,0.5
