date_time,axlusdc,usdc,axlusdc_percent,usdc_percent,ideal
2022-07-15T00:00:00+00:00,3147916.463885000000000000000000,2859529.121490000000000000000000,0.5240024930976548,0.4759975069023452,0.5
2022-07-14T00:00:00+00:00,3099653.235458000000000000000000,2907718.731708000000000000000000,0.5159749142219793,0.48402508577802067,0.5
2022-07-13T00:00:00+00:00,3131252.617647000000000000000000,2876032.786784000000000000000000,0.5212425258399367,0.4787574741600633,0.5
2022-07-12T00:00:00+00:00,3157308.159501000000000000000000,2850319.797893000000000000000000,0.5255498812330887,0.4744501187669113,0.5
2022-07-11T00:00:00+00:00,3287196.752155000000000000000000,2719382.313467000000000000000000,0.5472660421584912,0.4527339578415088,0.5
2022-07-10T00:00:00+00:00,3336779.895240000000000000000000,2669714.181643000000000000000000,0.5555287081830576,0.4444712918169424,0.5
2022-07-09T00:00:00+00:00,3308204.092334000000000000000000,2702147.652117000000000000000000,0.5504177181291041,0.44958228187089583,0.5
2022-07-08T00:00:00+00:00,3347032.289822000000000000000000,2663297.269855000000000000000000,0.556879994114977,0.44312000588502304,0.5
2022-07-07T00:00:00+00:00,3255919.631182000000000000000000,2754236.467093000000000000000000,0.5417362840403588,0.4582637159596412,0.5
2022-07-06T00:00:00+00:00,3188426.320910000000000000000000,2821547.100353000000000000000000,0.530522532700311,0.469477467299689,0.5
2022-07-05T00:00:00+00:00,2985267.500440000000000000000000,3024562.820976000000000000000000,0.49673074625784597,0.503269253742154,0.5
2022-07-04T00:00:00+00:00,3188655.269291000000000000000000,2820977.910601000000000000000000,0.530590665659947,0.46940933434005305,0.5
2022-07-03T00:00:00+00:00,3224773.977208000000000000000000,2784787.784818000000000000000000,0.5366071778453333,0.46339282215466676,0.5
2022-07-02T00:00:00+00:00,3230485.661552000000000000000000,2779001.787338000000000000000000,0.5375642580214884,0.4624357419785116,0.5
2022-07-01T00:00:00+00:00,3203207.555275000000000000000000,2806187.094096000000000000000000,0.5330333156951638,0.4669666843048363,0.5
2022-06-30T00:00:00+00:00,3108270.940819000000000000000000,2900994.209085000000000000000000,0.5172464291858807,0.4827535708141193,0.5
2022-06-29T00:00:00+00:00,1123483.806212000000000000000000,885719.576987000000000000000000,0.5591687808245769,0.4408312191754231,0.5
2022-06-28T00:00:00+00:00,1073865.833857000000000000000000,935206.382803000000000000000000,0.534508329243763,0.46549167075623704,0.5
2022-06-27T00:00:00+00:00,1130990.200946000000000000000000,878014.802570000000000000000000,0.5629603704155198,0.4370396295844802,0.5
2022-06-26T00:00:00+00:00,1050741.014277000000000000000000,958117.637311000000000000000000,0.5230537317527993,0.47694626824720066,0.5
2022-06-25T00:00:00+00:00,1062066.347502000000000000000000,946723.708326000000000000000000,0.5287094808243804,0.4712905191756196,0.5
2022-06-24T00:00:00+00:00,1113906.551397000000000000000000,894841.363812000000000000000000,0.554527794634253,0.4454722053657471,0.5
2022-06-23T00:00:00+00:00,1094418.680101000000000000000000,914270.568860000000000000000000,0.5448422052674853,0.4551577947325147,0.5
2022-06-22T00:00:00+00:00,1096443.264386000000000000000000,912176.496179000000000000000000,0.5458690021438324,0.4541309978561677,0.5
2022-06-21T00:00:00+00:00,1019444.037223000000000000000000,989026.999138000000000000000000,0.5075721873839193,0.49242781261608076,0.5
2022-06-20T00:00:00+00:00,1121452.067530000000000000000000,886982.953829000000000000000000,0.5583710976973374,0.44162890230266266,0.5
2022-06-19T00:00:00+00:00,1029285.536937000000000000000000,979243.941148000000000000000000,0.5124572719332732,0.4875427280667269,0.5
2022-06-18T00:00:00+00:00,1060284.785337000000000000000000,950715.676002000000000000000000,0.5272424376427156,0.4727575623572844,0.5
2022-06-17T00:00:00+00:00,1148363.466734000000000000000000,858773.140986000000000000000000,0.5721401634134308,0.4278598365865692,0.5
2022-06-16T00:00:00+00:00,1080615.301281000000000000000000,926301.606425000000000000000000,0.5384454618583058,0.4615545381416942,0.5
2022-06-15T00:00:00+00:00,1177082.240771000000000000000000,829842.536651000000000000000000,0.5865103934204369,0.4134896065795631,0.5
2022-06-14T00:00:00+00:00,1125990.188111000000000000000000,880818.916365000000000000000000,0.5610848513690636,0.43891514863093645,0.5
2022-06-13T00:00:00+00:00,973880.983626000000000000000000,1032739.587690000000000000000000,0.4853338979712047,0.5146661020287954,0.5
2022-06-12T00:00:00+00:00,947997.916146000000000000000000,1058491.208037000000000000000000,0.47246601275848166,0.5275339872415183,0.5
2022-06-11T00:00:00+00:00,939064.919084000000000000000000,1067382.552710000000000000000000,0.46802367482083423,0.5319763251791658,0.5
2022-06-10T00:00:00+00:00,953289.642052000000000000000000,1053140.419869000000000000000000,0.47511730418318177,0.5248826958168182,0.5
2022-06-09T00:00:00+00:00,946603.946289000000000000000000,1059814.874955000000000000000000,0.4717878123282835,0.5282121876717165,0.5
2022-06-08T00:00:00+00:00,909988.478164000000000000000000,1096314.372424000000000000000000,0.4535648632993288,0.5464351367006711,0.5
2022-06-07T00:00:00+00:00,1069888.930097000000000000000000,936306.484704000000000000000000,0.5332924809835263,0.46670751901647367,0.5
2022-06-06T00:00:00+00:00,1084778.802872000000000000000000,921391.038085000000000000000000,0.5407213191653453,0.45927868083465473,0.5
2022-06-05T00:00:00+00:00,1052865.886781000000000000000000,953239.517093000000000000000000,0.5248307914169442,0.4751692085830557,0.5
2022-06-04T00:00:00+00:00,1010639.082511000000000000000000,995411.956833000000000000000000,0.5037952986687166,0.4962047013312833,0.5
2022-06-03T00:00:00+00:00,1097017.785683000000000000000000,908956.634017000000000000000000,0.5468752616731087,0.45312473832689126,0.5
2022-06-02T00:00:00+00:00,1074463.791784000000000000000000,930927.410229000000000000000000,0.535787626227471,0.464212373772529,0.5
2022-06-01T00:00:00+00:00,1110353.95197000000000000000,894911.67562900000000000000,0.5537191366011094,0.4462808633988906,0.5
2022-05-31T00:00:00+00:00,1100410.51444100000000000000,904258.10209500000000000000,0.548923899623107,0.451076100376893,0.5
2022-05-30T00:00:00+00:00,1077492.84400200000000000000,926747.42600200000000000000,0.5376066233814619,0.4623933766185381,0.5
2022-05-29T00:00:00+00:00,1090430.22021100000000000000,912359.18570600000000000000,0.5444557560517622,0.4555442439482377,0.5
2022-05-28T00:00:00+00:00,1256340.33358000000000000000,746589.76167700000000000000,0.6272512138866216,0.37274878611337836,0.5
2022-05-27T00:00:00+00:00,1049754.67858100000000000000,951902.24835700000000000000,0.5244428575414489,0.4755571424585511,0.5
2022-05-26T00:00:00+00:00,1043405.94877300000000000000,958214.19437200000000000000,0.5212806997103717,0.4787193002896283,0.5
2022-05-25T00:00:00+00:00,1064033.15678600000000000000,937548.12709600000000000000,0.5315962760814505,0.4684037239185494,0.5
2022-05-24T00:00:00+00:00,1105805.24846400000000000000,895755.97595000000000000000,0.5524713583456575,0.4475286416543425,0.5
2022-05-23T00:00:00+00:00,1065931.33438700000000000000,935550.22985800000000000000,0.5325711480080964,0.4674288519919037,0.5
2022-05-22T00:00:00+00:00,1034306.17276400000000000000,967121.12282100000000000000,0.5167842844182262,0.4832157155817738,0.5
2022-05-21T00:00:00+00:00,1010307.19765800000000000000,991088.66348000000000000000,0.5048012825826151,0.4951987174173848,0.5
2022-05-20T00:00:00+00:00,1024100.41311600000000000000,977276.90860000000000000000,0.5116978202980368,0.48830217970196316,0.5
2022-05-19T00:00:00+00:00,1204161.12957000000000000000,797330.64958600000000000000,0.6016318138852298,0.3983681861147702,0.5
2022-05-18T00:00:00+00:00,1226951.85046800000000000000,774581.23480600000000000000,0.6130060299752859,0.38699397002471414,0.5
2022-05-17T00:00:00+00:00,905523.72744400000000000000,1095645.79610000000000000000,0.4524972606220535,0.5475027393779465,0.5
2022-05-16T00:00:00+00:00,1070880.52872500000000000000,930148.39588800000000000000,0.5351649421719923,0.46483505782800777,0.5
2022-05-15T00:00:00+00:00,1046190.25492300000000000000,954690.79701800000000000000,0.5228647919415896,0.47713520805841036,0.5
2022-05-14T00:00:00+00:00,1121327.47883000000000000000,879511.61813600000000000000,0.5604286124408207,0.43957138755917935,0.5
2022-05-13T00:00:00+00:00,1100686.21609300000000000000,900071.05360900000000000000,0.5501348078355053,0.4498651921644947,0.5
2022-05-12T00:00:00+00:00,702028.36358100000000000000,1298908.23411100000000000000,0.3508498791969528,0.6491501208030471,0.5
2022-05-11T00:00:00+00:00,874780.44857100000000000000,1125577.85222600000000000000,0.43731187968798513,0.5626881203120149,0.5
2022-05-10T00:00:00+00:00,905339.87102100000000000000,1094880.94986800000000000000,0.45261996153935685,0.5473800384606431,0.5
2022-05-09T00:00:00+00:00,931901.30322300000000000000,1068271.71291800000000000000,0.4659103466063891,0.5340896533936109,0.5
2022-05-08T00:00:00+00:00,1004591.98062500000000000000,995517.17721300000000000000,0.5022685770365177,0.49773142296348233,0.5
2022-05-07T00:00:00+00:00,1004195.35062500000000000000,995913.63144000000000000000,0.50207031698254,0.49792968301746,0.5
2022-05-06T00:00:00+00:00,964546.01738100000000000000,1035553.29755400000000000000,0.48224906142340546,0.5177509385765945,0.5
2022-05-05T00:00:00+00:00,974743.11062500000000000000,1025347.43347000000000000000,0.4873494920031489,0.5126505079968511,0.5
2022-05-04T00:00:00+00:00,929092.30224000000000000000,1071001.96456100000000000000,0.4645242565121758,0.5354757434878241,0.5
2022-05-03T00:00:00+00:00,930063.71233000000000000000,1070025.74552600000000000000,0.46501105671892484,0.5349889432810752,0.5
2022-05-02T00:00:00+00:00,926037.49032400000000000000,1074050.87165600000000000000,0.4629982894392043,0.5370017105607957,0.5
2022-05-01T00:00:00+00:00,926533.83803500000000000000,1073553.95677700000000000000,0.46324658369413746,0.5367534163058625,0.5
2022-04-29T00:00:00+00:00,920566.02360500000000000000,1079523.90257800000000000000,0.46026231698582737,0.5397376830141727,0.5
2022-04-28T00:00:00+00:00,920023.34360500000000000000,1080066.80165500000000000000,0.4599909388011121,0.5400090611988879,0.5
2022-04-27T00:00:00+00:00,920667.15813800000000000000,1079422.11268300000000000000,0.4603130328078221,0.5396869671921779,0.5
2022-04-26T00:00:00+00:00,920674.95693300000000000000,1079414.30372500000000000000,0.46031693437027477,0.5396830656297252,0.5
2022-04-25T00:00:00+00:00,920674.95693300000000000000,1079414.15096000000000000000,0.4603169695288666,0.5396830304711334,0.5
2022-04-24T00:00:00+00:00,925477.09623400000000000000,1074606.36552600000000000000,0.4627192384359871,0.5372807615640128,0.5
2022-04-23T00:00:00+00:00,926469.32444500000000000000,1073613.00034800000000000000,0.4632155951585071,0.5367844048414929,0.5
2022-04-22T00:00:00+00:00,926897.17251700000000000000,1073184.66514300000000000000,0.46342962326052883,0.5365703767394712,0.5
2022-04-21T00:00:00+00:00,904909.49276900000000000000,1095182.21401000000000000000,0.4524340007520405,0.5475659992479596,0.5
2022-04-19T00:00:00+00:00,929103.15871500000000000000,1070958.57768000000000000000,0.4645372399302317,0.5354627600697682,0.5
2022-04-18T00:00:00+00:00,955720.18113500000000000000,1044315.52721400000000000000,0.4778515589223819,0.522148441077618,0.5
2022-04-17T00:00:00+00:00,981522.54331900000000000000,1018486.55926900000000000000,0.4907590380708346,0.5092409619291655,0.5
2022-04-16T00:00:00+00:00,1000004.7190020000000000,999995.2871760000000000,0.5000023579564927,0.4999976420435073,0.5
2022-04-09T00:00:00+00:00,999994.6390020000000000,1000005.3631440000000000,0.4999973189645029,0.5000026810354972,0.5
2022-03-25T00:00:00+00:00,1000000.000000000000,1000000.000000000000,0.5,0.5,0.5
