date_time,frax,am3crv,frax_percent,am3crv_percent,ideal
2022-07-01T00:00:00+00:00,10948335.067702796626897280000000,7086375.742411912660865069000000,0.6070701761162955,0.3929298238837044,0.5
2022-06-30T00:00:00+00:00,11060120.501353514112914480000000,6980834.457319109561222769000000,0.6130562670706469,0.3869437329293532,0.5
2022-06-29T00:00:00+00:00,10891393.85928432199796290600,7139998.80940147930715629800,0.6040239963382779,0.3959760036617222,0.5
2022-06-28T00:00:00+00:00,10925441.01561076447036223500,7107850.06242126386127658000,0.6058484260213615,0.3941515739786386,0.5
2022-06-27T00:00:00+00:00,10958349.21589406440405873500,7076777.52735442271773348000,0.6076114336150347,0.39238856638496533,0.5
2022-06-26T00:00:00+00:00,11036466.86804354183731403500,7003020.08482426993189508000,0.6117949416676193,0.3882050583323807,0.5
2022-06-25T00:00:00+00:00,11044651.01072981715330926400,6995292.53403751283374109400,0.6122331249719144,0.3877668750280856,0.5
2022-06-24T00:00:00+00:00,11047855.74286778972013622400,6992266.24816342543472854400,0.6124047136909782,0.38759528630902185,0.5
2022-06-23T00:00:00+00:00,11023789.55464699542571310800,7014956.98458540171911933500,0.6111172708520185,0.38888272914798155,0.5
2022-06-22T00:00:00+00:00,10996405.10212701161063520800,7040752.66940893560606233500,0.6096528755478429,0.39034712445215713,0.5
2022-06-21T00:00:00+00:00,11000603.86407948720478680800,7036778.65352903809285713500,0.6098780603749149,0.39012193962508507,0.5
2022-06-20T00:00:00+00:00,10999438.66216064742030360800,7037867.33866124238286433500,0.6098160480095778,0.3901839519904222,0.5
2022-06-19T00:00:00+00:00,10935162.74354877571615480800,7098437.59526352395414090800,0.6063771259260906,0.3936228740739094,0.5
2022-06-18T00:00:00+00:00,10952480.98226454962765970800,7082065.71650975046467510800,0.6073055877256357,0.3926944122743643,0.5
2022-06-17T00:00:00+00:00,10934865.95649413229968235900,7098660.76922398577918910300,0.6063631436495233,0.39363685635047674,0.5
2022-06-16T00:00:00+00:00,10207600.47134957805957585900,7785489.86319539166504240300,0.5673066872649434,0.4326933127350566,0.5
2022-06-15T00:00:00+00:00,10186691.85853048564901555900,7805217.41491870705716110300,0.5661818155988075,0.43381818440119246,0.5
2022-06-14T00:00:00+00:00,9884555.85704181282004035900,8090822.00642786925226140300,0.5498941903819237,0.4501058096180764,0.5
2022-06-13T00:00:00+00:00,9684862.68563248348372585900,8279659.00119855759466020300,0.5391105232004039,0.4608894767995962,0.5
2022-06-12T00:00:00+00:00,9572504.85656089787247195900,8385914.46615966450595320300,0.5330371612634077,0.4669628387365923,0.5
2022-06-11T00:00:00+00:00,9582378.48980193849863065900,8376553.91973073957447500300,0.5335717219312864,0.4664282780687135,0.5
2022-06-10T00:00:00+00:00,9626968.77736052971955538000,8334328.15043474256182705200,0.535984055943238,0.464015944056762,0.5
2022-06-09T00:00:00+00:00,9550869.94595593618122329600,8406325.35185309057429601900,0.5318686903806881,0.468131309619312,0.5
2022-06-08T00:00:00+00:00,9575957.09768908331305819600,8382561.95838234509812931900,0.5332264351971516,0.46677356480284843,0.5
2022-06-07T00:00:00+00:00,9567962.55333280006054969600,8390092.32459850840378291900,0.5327950392384027,0.46720496076159734,0.5
2022-06-06T00:00:00+00:00,9628483.68417377311655904700,8332755.23668758159018226100,0.5360701300504735,0.46392986994952645,0.5
2022-06-05T00:00:00+00:00,9690027.54365372448178353900,8274453.88892071612442823800,0.5393992350974905,0.46060076490250945,0.5
2022-06-04T00:00:00+00:00,9697437.74046327348579333900,8267422.93957700001193173800,0.5398003309448172,0.4601996690551828,0.5
2022-06-03T00:00:00+00:00,10082765.26062954628102463900,7902405.99349753712334483800,0.560615471388177,0.4393845286118229,0.5
2022-06-02T00:00:00+00:00,10051962.02411210936516043900,7931548.57038272500637443800,0.5589543805306426,0.44104561946935733,0.5
2022-06-01T00:00:00+00:00,9941316.56965108826464372700,8036253.59253273239263257500,0.5529844400531306,0.4470155599468694,0.5
2022-05-31T00:00:00+00:00,9765171.90467968610484382700,8202980.37939641925557817500,0.5434711232570009,0.4565288767429992,0.5
2022-05-30T00:00:00+00:00,9742270.92855039243408142700,8224659.43712817268463107500,0.5422334661662975,0.4577665338337024,0.5
2022-05-29T00:00:00+00:00,9926810.28290579972765802700,8049828.67712724112366677500,0.5522061329137109,0.44779386708628904,0.5
2022-05-28T00:00:00+00:00,10004411.94555617730760372700,7976315.68001141659929077500,0.5563963902845879,0.4436036097154122,0.5
2022-05-27T00:00:00+00:00,10238337.40826231673281042700,7754744.39303700592026417500,0.5690152204789611,0.4309847795210389,0.5
2022-05-26T00:00:00+00:00,10531112.27161370298660822700,7477480.63574205250876507500,0.584782627148631,0.4152173728513689,0.5
2022-05-25T00:00:00+00:00,10600528.41587972307802352700,7411753.73015712076767527500,0.5885166760066606,0.41148332399333937,0.5
2022-05-23T00:00:00+00:00,10617438.17225598133832052700,7395743.11271650443113987500,0.5894260433116048,0.4105739566883952,0.5
2022-05-22T00:00:00+00:00,10692978.72560836886950412700,7324192.31015708716517777500,0.5934882176775694,0.4065117823224305,0.5
2022-05-21T00:00:00+00:00,11494646.55368137455850412700,6565447.00626220749917777500,0.6364666116224308,0.36353338837756927,0.5
2022-05-20T00:00:00+00:00,11467526.14242150246467142700,6591081.22889820806207827500,0.6350171918923261,0.3649828081076739,0.5
2022-05-19T00:00:00+00:00,11467555.06363755081981832700,6591053.86641177826061307500,0.6350187386003837,0.36498126139961623,0.5
2022-05-18T00:00:00+00:00,11462480.26958427365220293200,6595850.57703383862748096200,0.6347474950449763,0.36525250495502365,0.5
2022-05-17T00:00:00+00:00,11466526.84771258500444253200,6592010.97759873719655196200,0.634964301021138,0.365035698978862,0.5
2022-05-16T00:00:00+00:00,11460983.22377686081940593200,6597251.88423046297753306200,0.6346679592567088,0.3653320407432912,0.5
2022-05-15T00:00:00+00:00,11458974.11408570122621593200,6599151.62372703826474006200,0.6345605452337298,0.3654394547662702,0.5
2022-05-14T00:00:00+00:00,11474243.26051870616945214800,6584700.47833877967161040400,0.635377319207742,0.364622680792258,0.5
2022-05-13T00:00:00+00:00,11464403.06201281490815034800,6594005.63290719321650840400,0.6348512349949115,0.3651487650050885,0.5
2022-05-12T00:00:00+00:00,11452701.45686044474207514800,6605066.74335857991937420400,0.6342257431747038,0.3657742568252962,0.5
2022-05-11T00:00:00+00:00,12005295.17634293863215134800,6082111.42810029445935970400,0.6637377839116967,0.3362622160883033,0.5
2022-05-10T00:00:00+00:00,11955250.35740259277667414800,6129327.49828584413517660400,0.6610743392963476,0.3389256607036524,0.5
2022-05-09T00:00:00+00:00,11669616.81765268511984824800,6399300.96554056911240410400,0.6458392781280538,0.3541607218719462,0.5
2022-05-08T00:00:00+00:00,11049351.45629537002697334800,6986406.02618384146001990400,0.6126358411632687,0.38736415883673125,0.5
