date_time,dai,usdc,usdt,dai_percent,usdc_percent,usdt_percent,ideal
2022-05-30T00:00:00+00:00,13622353.581902823389007526000000000000000000,13482180.204134000000000000000000,46177277.809576000000000000000000,0.18588996758260212,0.18397716855762256,0.6301328638597753,0.33
2022-05-29T00:00:00+00:00,14057499.154465943793940179000000000000000000,10980706.732013000000000000000000,47531740.992596000000000000000000,0.19370965198431653,0.15131204037272367,0.6549783076429598,0.33
2022-05-28T00:00:00+00:00,13239471.849206274450898704000000000000000000,11280367.244233000000000000000000,47990204.263919000000000000000000,0.18258811105596645,0.15556972140588682,0.6618421675381467,0.33
2022-05-27T00:00:00+00:00,13399205.232779233362457304000000000000000000,11061321.285440000000000000000000,48074604.594713000000000000000000,0.1847271112244574,0.15249605419776907,0.6627768345777735,0.33
2022-05-26T00:00:00+00:00,12727930.512288387734150106000000000000000000,10706996.277912000000000000000000,48775941.216207000000000000000000,0.17626059433545402,0.14827402818315313,0.6754653774813929,0.33
2022-05-25T00:00:00+00:00,12588622.585066229044928082000000000000000000,11153584.249473000000000000000000,49724299.226790000000000000000000,0.17135186168452535,0.1518186292970307,0.676829509018444,0.33
2022-05-24T00:00:00+00:00,12004797.940884497670557334000000000000000000,10760586.843446000000000000000000,50797645.829004000000000000000000,0.16319063856932006,0.14627710079001924,0.6905322606406608,0.33
2022-05-23T00:00:00+00:00,11439579.547449072615264495000000000000000000,10979230.791834000000000000000000,44212243.250248000000000000000000,0.1716854068963189,0.16477648484248242,0.6635381082611986,0.33
2022-05-22T00:00:00+00:00,11184212.743839957924159325000000000000000000,10751243.544979000000000000000000,44050571.369341000000000000000000,0.16949365101623748,0.16293212254987866,0.6675742264338839,0.33
2022-05-21T00:00:00+00:00,10916100.626837261110937677000000000000000000,9873716.811194000000000000000000,43206957.109048000000000000000000,0.17057266876484262,0.15428460076422126,0.6751427304709361,0.33
2022-05-20T00:00:00+00:00,10929485.426601816179690754000000000000000000,9986172.233444000000000000000000,42759026.950115000000000000000000,0.1716456939443993,0.1568311220476853,0.6715231840079154,0.33
2022-05-19T00:00:00+00:00,11786733.060381523085208014000000000000000000,9208324.687021000000000000000000,44315584.849600000000000000000000,0.18047185866951618,0.14099271299228683,0.678535428338197,0.33
2022-05-18T00:00:00+00:00,11612317.652935250525950905000000000000000000,8007024.527807000000000000000000,43539789.029535000000000000000000,0.1838580966903119,0.12677540641192508,0.689366496897763,0.33
2022-05-17T00:00:00+00:00,11571558.167132488950853572000000000000000000,9390000.234199000000000000000000,43478094.389576000000000000000000,0.179572012975918,0.14571773477221373,0.6747102522518683,0.33
2022-05-16T00:00:00+00:00,11562578.092839965173186586000000000000000000,10305344.065730000000000000000000,45950102.465190000000000000000000,0.17049417403391945,0.15195582771544683,0.6775499982506338,0.33
2022-05-15T00:00:00+00:00,11233790.713933690479981670000000000000000000,10566691.775819000000000000000000,46789291.712298000000000000000000,0.16378229618953644,0.15405637208677497,0.6821613317236886,0.33
2022-05-14T00:00:00+00:00,10776595.220348189892836466000000000000000000,8973218.499268000000000000000000,48257511.746073000000000000000000,0.15846227074148297,0.13194488149361402,0.709592847764903,0.33
2022-05-13T00:00:00+00:00,11659560.135569970300220495000000000000000000,8645833.706900000000000000000000,48529529.588549000000000000000000,0.16938436994492015,0.12560243080046693,0.7050131992546129,0.33
2022-05-12T00:00:00+00:00,8484050.205419531052350550000000000000000000,6497976.082077000000000000000000,54708396.364114000000000000000000,0.12173911252959616,0.09324058937855836,0.7850202980918455,0.33
2022-05-11T00:00:00+00:00,21898600.825394884625441415000000000000000000,4957089.166375000000000000000000,62718070.805739000000000000000000,0.24447562132507783,0.055340862348975534,0.7001835163259467,0.33
2022-05-10T00:00:00+00:00,33526420.592386308615764990000000000000000000,26984956.815481000000000000000000,39325037.945457000000000000000000,0.33581354532547286,0.27029172391637224,0.3938947307581549,0.33
2022-05-09T00:00:00+00:00,32659603.577817322907278210000000000000000000,28269629.359818000000000000000000,39128338.514500000000000000000000,0.3264081178848194,0.2825336348818078,0.3910582472333728,0.33
2022-05-08T00:00:00+00:00,35203669.666477727819222929000000000000000000,33282990.104191000000000000000000,39832868.523212000000000000000000,0.324998365677581,0.30726675631277883,0.3677348780096402,0.33
2022-05-07T00:00:00+00:00,38148889.467088437614837973000000000000000000,31664536.083515000000000000000000,37250440.025481000000000000000000,0.3563189995225617,0.29575371590719135,0.34792728457024696,0.33
2022-05-06T00:00:00+00:00,44796476.776885821540768849000000000000000000,30211158.109972000000000000000000,33906288.363693000000000000000000,0.41130165400280233,0.27738563820231504,0.3113127077948826,0.33
