time,mim,ust,mim_p,ust_p,ideal
2022-06-16T00:00:00+00:00,2786.541404631477956368000000000000000000,2674406.430540391457256012000000000000000000,0.0010408444343879373,0.9989591555656121,0.50
2022-06-15T00:00:00+00:00,2859.927867485080255568000000000000000000,2664943.589527288585256012000000000000000000,0.0010720159295231474,0.9989279840704769,0.50
2022-06-14T00:00:00+00:00,2987.468790547348224068000000000000000000,2649869.923215641278256012000000000000000000,0.0011261324485626098,0.9988738675514374,0.50
2022-06-13T00:00:00+00:00,2899.126119862378090168000000000000000000,2660111.557162334134256012000000000000000000,0.0010886648476712705,0.9989113351523288,0.50
2022-06-12T00:00:00+00:00,3268.526536672506553668000000000000000000,2621506.625071627540256012000000000000000000,0.0012452596309705825,0.9987547403690294,0.50
2022-06-11T00:00:00+00:00,3138.111665614871147768000000000000000000,2633853.200696033739256012000000000000000000,0.0011900348897260593,0.998809965110274,0.50
2022-06-10T00:00:00+00:00,3294.892275698076352268000000000000000000,2619067.150142408478256012000000000000000000,0.0012564597192917812,0.9987435402807082,0.50
2022-06-09T00:00:00+00:00,3330.201791665557457668000000000000000000,2615936.973486852355256012000000000000000000,0.00127142500890977,0.9987285749910902,0.50
2022-06-08T00:00:00+00:00,3354.108160091138798668000000000000000000,2613866.726513048336256012000000000000000000,0.0012815533621220114,0.998718446637878,0.50
2022-06-06T00:00:00+00:00,3826.926510727598848268000000000000000000,2579082.350527768802256012000000000000000000,0.0014816341188396147,0.9985183658811604,0.50
2022-06-05T00:00:00+00:00,3815.549621738396509168000000000000000000,2579792.331346550641256012000000000000000000,0.0014768299980213709,0.9985231700019787,0.50
2022-06-03T00:00:00+00:00,4112.475080495945482268000000000000000000,2562447.590966333916329512000000000000000000,0.001602329567462735,0.9983976704325372,0.50
2022-06-02T00:00:00+00:00,4138.837349228802785168000000000000000000,2561032.493008504745329512000000000000000000,0.001613474039822365,0.9983865259601776,0.50
2022-06-01T00:00:00+00:00,3820.390582407467292568000000000000000000,2579429.833768484433329512000000000000000000,0.0014789084488969469,0.998521091551103,0.50
2022-05-31T00:00:00+00:00,4450.703400916040656068000000000000000000,2545787.637136454535269612000000000000000000,0.0017452107633117208,0.9982547892366883,0.50
2022-05-30T00:00:00+00:00,4807.012757101756609668000000000000000000,2530971.736853190790564012000000000000000000,0.0018956751482519976,0.998104324851748,0.50
2022-05-29T00:00:00+00:00,5033.814123017331975068000000000000000000,2522696.061554670381577212000000000000000000,0.0019914367320075133,0.9980085632679925,0.50
2022-05-28T00:00:00+00:00,4494.133321222373380668000000000000000000,2543700.378903833552987612000000000000000000,0.0017636539517142844,0.9982363460482857,0.50
2022-05-27T00:00:00+00:00,5622.066769197292731468000000000000000000,2518944.900122826339409212000000000000000000,0.0022269430135650465,0.9977730569864349,0.50
2022-05-26T00:00:00+00:00,6663.938872007676969368000000000000000000,2677153.629713640152053712000000000000000000,0.0024830073958862723,0.9975169926041138,0.50
2022-05-25T00:00:00+00:00,24632.272714860390094268000000000000000000,7095909.390156286476933112000000000000000000,0.0034593256919345314,0.9965406743080655,0.50
