time,usdc,dai,usdt,usdc_p,dai_p,usdt_p,ideal
2021-04-28T00:00:00+00:00,619987249.801426000000000000000000,375483398.639625795451019874000000000000000000,414110181.743730000000000000000000,0.439838025975532,0.26637947296034364,0.2937825010641244,0.33
2021-04-27T00:00:00+00:00,614653045.490650000000000000000000,386692575.986248587578307655000000000000000000,401978783.770420000000000000000000,0.43799783085959015,0.27555465759757725,0.2864475115428326,0.33
2021-04-26T00:00:00+00:00,594836012.910951000000000000000000,402738671.824393748127145546000000000000000000,397230202.327556000000000000000000,0.4264653919900741,0.2887419420163185,0.2847926659936074,0.33
2021-04-25T00:00:00+00:00,570529854.109329000000000000000000,395212902.774853198043846083000000000000000000,406729424.192147000000000000000000,0.4156950224389279,0.28795694967377533,0.29634802788729675,0.33
2021-04-24T00:00:00+00:00,537187747.687510000000000000000000,393049037.710157123417950111000000000000000000,394405421.442544000000000000000000,0.40553422268562056,0.2967209074877151,0.2977448698266643,0.33
2021-04-23T00:00:00+00:00,500291905.818248000000000000000000,376871917.285487842308226812000000000000000000,398797779.971831000000000000000000,0.3920900947272619,0.29536305510846017,0.31254685016427786,0.33
2021-04-22T00:00:00+00:00,517482836.777474000000000000000000,398246569.162896974836843612000000000000000000,375657241.741019000000000000000000,0.4007187450068378,0.3083867793413581,0.2908944756518041,0.33
2021-04-21T00:00:00+00:00,530554153.446344000000000000000000,409543344.735746154207300448000000000000000000,327499108.855570000000000000000000,0.418551257159196,0.3230864949164215,0.2583622479243825,0.33
2021-04-20T00:00:00+00:00,523333047.464251000000000000000000,430735771.122284031624601948000000000000000000,322028710.569162000000000000000000,0.4101042714270462,0.33754141927323633,0.25235430929971747,0.33
2021-04-19T00:00:00+00:00,527890469.172304000000000000000000,456564863.874507171640930648000000000000000000,308260842.282250000000000000000000,0.4083575956167868,0.3531826031017895,0.2384598012814237,0.33
2021-04-18T00:00:00+00:00,566425420.621828000000000000000000,374484033.315192928072333448000000000000000000,315147220.175377000000000000000000,0.4509553050399552,0.2981426244797632,0.2509020704802816,0.33
2021-04-17T00:00:00+00:00,547331844.736733000000000000000000,389271701.837008776001983248000000000000000000,351475035.845136000000000000000000,0.42492115947530207,0.3022111439086247,0.27286769661607324,0.33
2021-04-16T00:00:00+00:00,512083992.182263000000000000000000,420404455.898647934640685448000000000000000000,346476894.598009000000000000000000,0.40038926395742064,0.32870668333988556,0.27090405270269385,0.33
2021-04-15T00:00:00+00:00,468447418.978034000000000000000000,413617337.388835683674456848000000000000000000,435000048.600450000000000000000000,0.35567529950787624,0.3140447879473165,0.33027991254480726,0.33
2021-04-14T00:00:00+00:00,312752751.588102000000000000000000,278573987.515704924148505519000000000000000000,359473315.583420000000000000000000,0.328936404711277,0.29298903186048303,0.37807456342824,0.33
2021-04-13T00:00:00+00:00,222037086.162810000000000000000000,249544199.525223019454857819000000000000000000,494792317.397459000000000000000000,0.2297631945387141,0.25822745854032464,0.5120093469209612,0.33
2021-04-12T00:00:00+00:00,264049445.739312000000000000000000,318079781.150219999517967921000000000000000000,387731129.848004000000000000000000,0.27225511786824086,0.3279645146237263,0.39978036750803286,0.33
2021-04-11T00:00:00+00:00,207680312.873064000000000000000000,313764026.658935126833360333000000000000000000,405584825.084854000000000000000000,0.22402780926412338,0.33846187222018603,0.4375103185156906,0.33
2021-04-10T00:00:00+00:00,242027042.584189000000000000000000,319782830.844865273713041711000000000000000000,372022354.719918000000000000000000,0.25917615101369035,0.3424414163545563,0.39838243263175327,0.33
2021-04-09T00:00:00+00:00,249498493.344005000000000000000000,289501604.885483512268629768000000000000000000,420492451.855201000000000000000000,0.26003171501642514,0.30172366097051057,0.4382446240130643,0.33
2021-04-08T00:00:00+00:00,263165609.885749000000000000000000,280695985.079233258674179326000000000000000000,423676066.551798000000000000000000,0.2719952104739696,0.2901137560259871,0.4378910335000433,0.33
2021-04-07T00:00:00+00:00,288908494.594822000000000000000000,292191253.415789532552295626000000000000000000,415885904.433873000000000000000000,0.289781998252888,0.29307468236816947,0.4171433193789425,0.33
2021-04-06T00:00:00+00:00,307525015.461489000000000000000000,302165461.819884437854240688000000000000000000,397889718.702087000000000000000000,0.305211452832621,0.2998922200182312,0.39489632714914774,0.33
2021-04-05T00:00:00+00:00,299547244.779007000000000000000000,291396698.240841334496214274000000000000000000,419889429.157873000000000000000000,0.29633691667071477,0.2882737217243446,0.4153893616049406,0.33
2021-04-04T00:00:00+00:00,290531361.893110000000000000000000,322379652.502236437182158795000000000000000000,399180625.477043000000000000000000,0.28706033174006057,0.3185281251240095,0.39441154313592997,0.33
2021-04-03T00:00:00+00:00,286887310.870653000000000000000000,340774911.392008669719621095000000000000000000,387016019.267486000000000000000000,0.2827372255839677,0.33584529306365707,0.38141748135237524,0.33
2021-04-02T00:00:00+00:00,326686335.877761000000000000000000,320722380.482399041579026395000000000000000000,346899017.340345000000000000000000,0.32855656735358557,0.32255846918616415,0.34888496346025033,0.33
2021-04-01T00:00:00+00:00,330586001.816755000000000000000000,313458129.753425110075755713000000000000000000,328907430.302301000000000000000000,0.33977642338178693,0.3221723897026933,0.3380511869155198,0.33
2021-03-31T00:00:00+00:00,373898096.671147000000000000000000,302031301.362380827477566613000000000000000000,319027199.670604000000000000000000,0.37579337383552114,0.3035622881031392,0.3206443380613397,0.33
2021-03-30T00:00:00+00:00,334500778.925655000000000000000000,298490014.317748327843325652000000000000000000,336526033.807223000000000000000000,0.34501802299114503,0.30787502185577,0.347106955153085,0.33
2021-03-29T00:00:00+00:00,333718677.995276000000000000000000,290512508.941379463232561970000000000000000000,345649703.000766000000000000000000,0.3440821254007883,0.2995342128662045,0.35638366173300723,0.33
2021-03-28T00:00:00+00:00,306978000.306999000000000000000000,310747702.280526634087607150000000000000000000,369535692.085602000000000000000000,0.31093892859918454,0.31475727092865013,0.37430380047216527,0.33
2021-03-27T00:00:00+00:00,332797214.972584000000000000000000,267081487.545463276933681891000000000000000000,372388523.740699000000000000000000,0.342289862277038,0.2746996713786028,0.3830104663443592,0.33
2021-03-26T00:00:00+00:00,350197718.054752000000000000000000,213158311.173431770465383154000000000000000000,395334950.037599000000000000000000,0.36528738209569084,0.22234308633703834,0.41236953156727085,0.33
2021-03-25T00:00:00+00:00,310932695.950602000000000000000000,211144622.699437929281358831000000000000000000,430770461.645348000000000000000000,0.3263193790032351,0.22159323563096506,0.45208738536579984,0.33
2021-03-24T00:00:00+00:00,280251670.206459000000000000000000,220739041.047882833468058449000000000000000000,453540963.774049000000000000000000,0.29360122617002044,0.23125376226128624,0.4751450115686933,0.33
2021-03-23T00:00:00+00:00,346657254.712961000000000000000000,210761201.128595755347419321000000000000000000,413732315.080899000000000000000000,0.3569551351781204,0.2170221220422885,0.4260227427795911,0.33
2021-03-22T00:00:00+00:00,353238935.863809000000000000000000,212830578.628125278328145580000000000000000000,411324353.025216000000000000000000,0.3614089954964964,0.21775313484294062,0.4208378696605629,0.33
2021-03-21T00:00:00+00:00,336373108.149142000000000000000000,215301159.353793435886452854000000000000000000,389714819.130466000000000000000000,0.357315708164921,0.22870581612939037,0.41397847570568863,0.33
2021-03-20T00:00:00+00:00,347372188.381455000000000000000000,210196744.361208124086958093000000000000000000,390205090.808181000000000000000000,0.3665137255819925,0.22177938953602472,0.41170688488198276,0.33
2021-03-19T00:00:00+00:00,345301808.818035000000000000000000,213765266.804966226882503124000000000000000000,372748767.692060000000000000000000,0.3705687248132388,0.22940720351401978,0.4000240716727414,0.33
2021-03-18T00:00:00+00:00,320596301.923990000000000000000000,202235159.742566366196409724000000000000000000,335877048.831923000000000000000000,0.3733470648123473,0.23551083664603378,0.3911420985416189,0.33
2021-03-17T00:00:00+00:00,322174373.051220000000000000000000,206720240.590015155977305226000000000000000000,324477143.994196000000000000000000,0.37753109376846294,0.24223937427084163,0.3802295319606954,0.33
