time,frax,crv3,frax_p,crv3_p,total,ideal
2022-07-13T00:00:00+00:00,689399384.323794446888390658000000000000000000,421017815.193147716106946718000000000000000000,0.6208471776407097,0.3791528223592902,1110417199.516942162995337376000000000000000000,0.50
2022-07-12T00:00:00+00:00,697768158.789983267348092069000000000000000000,423896407.887839293897340557000000000000000000,0.6220827326806377,0.37791726731936226,1121664566.677822561245432626000000000000000000,0.50
2022-07-11T00:00:00+00:00,697813115.203859910467230669000000000000000000,423698960.768490826260962010000000000000000000,0.6222074020904822,0.37779259790951775,1121512075.972350736728192679000000000000000000,0.50
2022-07-10T00:00:00+00:00,698687564.648991522047949469000000000000000000,418541595.611632323372042910000000000000000000,0.6253753388302216,0.37462466116977844,1117229160.260623845419992379000000000000000000,0.50
2022-07-09T00:00:00+00:00,704291906.745521987635613769000000000000000000,418128709.831150136257022246000000000000000000,0.6274759179794628,0.3725240820205372,1122420616.576672123892636015000000000000000000,0.50
2022-07-08T00:00:00+00:00,704892771.331411673812648469000000000000000000,418424140.502451715747737346000000000000000000,0.6275101566668695,0.37248984333313045,1123316911.833863389560385815000000000000000000,0.50
2022-07-07T00:00:00+00:00,705330111.276957406655800169000000000000000000,417995295.313115839941253321000000000000000000,0.6278947374813079,0.3721052625186922,1123325406.590073246597053490000000000000000000,0.50
2022-07-06T00:00:00+00:00,705597511.895214055504645448000000000000000000,419073856.012540282614406221000000000000000000,0.6273810572841819,0.3726189427158181,1124671367.907754338119051669000000000000000000,0.50
2022-07-05T00:00:00+00:00,712085987.827355483833887848000000000000000000,418081063.877895708727498503000000000000000000,0.6300714454141318,0.36992855458586815,1130167051.705251192561386351000000000000000000,0.50
2022-07-04T00:00:00+00:00,713503890.228763816837392348000000000000000000,421095660.260127921536690003000000000000000000,0.6288596623551627,0.37114033764483734,1134599550.488891738374082351000000000000000000,0.50
2022-07-03T00:00:00+00:00,761289130.268332040764924548000000000000000000,455449730.111964157390255087000000000000000000,0.6256799672120181,0.37432003278798187,1216738860.380296198155179635000000000000000000,0.50
2022-07-02T00:00:00+00:00,761374267.577322157125625425000000000000000000,459668124.519523710790017487000000000000000000,0.6235444997694515,0.3764555002305485,1221042392.096845867915642912000000000000000000,0.50
2022-07-01T00:00:00+00:00,774195242.373733498553740925000000000000000000,470135419.949069848979364940000000000000000000,0.6221780639308013,0.37782193606919867,1244330662.322803347533105865000000000000000000,0.50
2022-06-30T00:00:00+00:00,788600915.040348643967590925000000000000000000,477752889.166885906519200429000000000000000000,0.6227334828705554,0.37726651712944453,1266353804.207234550486791354000000000000000000,0.50
2022-06-29T00:00:00+00:00,784708537.060740300353989225000000000000000000,481789063.755144463906561429000000000000000000,0.6195894382707292,0.3804105617292708,1266497600.815884764260550654000000000000000000,0.50
2022-06-28T00:00:00+00:00,777769360.304314551639174225000000000000000000,491461272.915294705818850229000000000000000000,0.6127880465123793,0.3872119534876207,1269230633.219609257458024454000000000000000000,0.50
2022-06-27T00:00:00+00:00,778360121.128124563769427925000000000000000000,489469602.996623757734471645000000000000000000,0.6139311189169893,0.38606888108301074,1267829724.124748321503899570000000000000000000,0.50
