time,cvxcrv,crv,cvxcrv_p,crv_p,ideal
2022-03-20T00:00:00+00:00,41525010.312493017932088432000000000000000000,17174839.898725851896133683000000000000000000,0.7074125430145757,0.2925874569854243,0.50
2022-03-19T00:00:00+00:00,41987219.072604959209959832000000000000000000,16326008.527547356634124783000000000000000000,0.7200290705996745,0.27997092940032553,0.50
2022-03-18T00:00:00+00:00,42928860.507780456683873232000000000000000000,15629442.193590316622430883000000000000000000,0.7330960517538284,0.26690394824617164,0.50
2022-03-17T00:00:00+00:00,43976314.887368137430476332000000000000000000,14729544.307459270989934683000000000000000000,0.749095839674601,0.2509041603253989,0.50
2022-03-16T00:00:00+00:00,44931072.318967965097749932000000000000000000,14012319.795949979003458460000000000000000000,0.7622749676735416,0.23772503232645836,0.50
2022-03-15T00:00:00+00:00,44706529.080720893939000932000000000000000000,14389653.234839724510423460000000000000000000,0.7565045207488676,0.24349547925113235,0.50
2022-03-14T00:00:00+00:00,44732242.437939774719140032000000000000000000,14376200.173896923072879160000000000000000000,0.7567826263279346,0.24321737367206547,0.50
2022-03-13T00:00:00+00:00,44762409.456982393381142223000000000000000000,15188466.111207244244678087000000000000000000,0.7466514714379525,0.2533485285620474,0.50
2022-03-12T00:00:00+00:00,44203560.960971488700436934000000000000000000,15133950.368305432149245475000000000000000000,0.7449513801762968,0.25504861982370325,0.50
2022-03-11T00:00:00+00:00,44258500.830789587530624273000000000000000000,14946854.088657133669647934000000000000000000,0.7475421926108975,0.2524578073891025,0.50
2022-03-10T00:00:00+00:00,44103424.556949528869678951000000000000000000,14842192.074633965835666802000000000000000000,0.748205330221596,0.25179466977840403,0.50
2022-03-09T00:00:00+00:00,45698263.735324230072141552000000000000000000,12387222.400997609413341811000000000000000000,0.7867415214202422,0.2132584785797578,0.50
2022-03-08T00:00:00+00:00,45544804.827700859425970696000000000000000000,12317799.257834634808649372000000000000000000,0.7871198600113845,0.21288013998861557,0.50
2022-03-07T00:00:00+00:00,47823920.815160164895045196000000000000000000,12151229.025458652535585072000000000000000000,0.7973956037167064,0.2026043962832937,0.50
2022-03-06T00:00:00+00:00,47987942.326340206637450996000000000000000000,12060150.814942747611480126000000000000000000,0.7991584714177807,0.20084152858221932,0.50
2022-03-05T00:00:00+00:00,47804786.658651989571030009000000000000000000,11986224.535932189641626873000000000000000000,0.7995313292674687,0.2004686707325313,0.50
2022-03-04T00:00:00+00:00,47639257.902706175924285400000000000000000000,12219401.529323029939238210000000000000000000,0.7958624258333346,0.20413757416666545,0.50
2022-03-03T00:00:00+00:00,47415790.691656122001704474000000000000000000,12606991.764605671922942336000000000000000000,0.7899632231512709,0.21003677684872912,0.50
2022-03-02T00:00:00+00:00,47489585.424079176611447674000000000000000000,12974559.048599977820573836000000000000000000,0.7854173053839775,0.21458269461602253,0.50
