time,lusd,crv,lusd_p,crv_p,ideal
2022-04-08T00:00:00+00:00,31870481.086557111911044821000000000000000000,67526973.149875769073854351000000000000000000,0.3206367942859787,0.6793632057140213,0.5
2022-04-07T00:00:00+00:00,35927930.119919859746044821000000000000000000,63622847.732881525182651251000000000000000000,0.36090054638291147,0.6390994536170885,0.5
2022-04-06T00:00:00+00:00,33078307.883379664159044821000000000000000000,66309871.826498990115226951000000000000000000,0.33281933505511074,0.6671806649448893,0.5
2022-04-05T00:00:00+00:00,32017022.599649493746924521000000000000000000,67295686.317223776303949151000000000000000000,0.3223859559248191,0.6776140440751809,0.5
2022-04-04T00:00:00+00:00,34802332.472643999556924521000000000000000000,64645223.181124848640006951000000000000000000,0.34995664040059354,0.6500433595994064,0.5
2022-04-03T00:00:00+00:00,36853181.363153287107924521000000000000000000,65467441.988799329278486051000000000000000000,0.3601735423013332,0.6398264576986668,0.5
2022-04-02T00:00:00+00:00,36697299.250987202093431068000000000000000000,65617747.212227568895205935000000000000000000,0.35866962406336733,0.6413303759366327,0.5
2022-04-01T00:00:00+00:00,31471555.737147144702735768000000000000000000,70745537.074828457926196435000000000000000000,0.3078893644044236,0.6921106355955764,0.5
2022-03-31T00:00:00+00:00,29356201.863198970632021768000000000000000000,63040322.319445451717036635000000000000000000,0.3177197640591894,0.6822802359408107,0.5
2022-03-30T00:00:00+00:00,32116847.528787716306919968000000000000000000,86876579.396771534517176135000000000000000000,0.26990438344867235,0.7300956165513277,0.5
2022-03-29T00:00:00+00:00,31813860.469172230847928268000000000000000000,87382005.692733947267230935000000000000000000,0.26690405878639123,0.7330959412136088,0.5
2022-03-28T00:00:00+00:00,31150416.566628876346928268000000000000000000,88033275.091229376825097135000000000000000000,0.26136475664852427,0.7386352433514757,0.5
2022-03-27T00:00:00+00:00,30471089.459678998382291473000000000000000000,88669636.912898879319845035000000000000000000,0.2557571234238538,0.7442428765761462,0.5
2022-03-26T00:00:00+00:00,27232524.272805888387291473000000000000000000,91861085.022058024416766735000000000000000000,0.2286648665200907,0.7713351334799093,0.5
2022-03-25T00:00:00+00:00,27200608.439848545060093873000000000000000000,91893292.242296327452816835000000000000000000,0.22839631823333661,0.7716036817666634,0.5
2022-03-24T00:00:00+00:00,26422131.640373056372695273000000000000000000,92175083.827194778967935335000000000000000000,0.22278880272360677,0.7772111972763932,0.5
2022-03-23T00:00:00+00:00,31378214.265184896534503073000000000000000000,87227566.062782208384904335000000000000000000,0.26455889568297836,0.7354411043170216,0.5
2022-03-22T00:00:00+00:00,31499154.565512522629068541000000000000000000,87133974.536462290512883897000000000000000000,0.2655173542496417,0.7344826457503583,0.5
2022-03-21T00:00:00+00:00,32333353.988515074953058041000000000000000000,87262768.183617415626624297000000000000000000,0.270354534923618,0.7296454650763821,0.5
2022-03-20T00:00:00+00:00,38023343.828072001990465041000000000000000000,81522642.092436421507748497000000000000000000,0.3180645802139727,0.6819354197860273,0.5
2022-03-19T00:00:00+00:00,36488256.833669409807465041000000000000000000,83136094.275903992564061697000000000000000000,0.3050236552610173,0.6949763447389827,0.5
2022-03-18T00:00:00+00:00,35862195.493215291473170941000000000000000000,83651436.560661014364006597000000000000000000,0.3000678238700732,0.6999321761299268,0.5
2022-03-17T00:00:00+00:00,29775113.428567994907282441000000000000000000,90570084.106361827347878897000000000000000000,0.24741422207500935,0.7525857779249906,0.5
2022-03-16T00:00:00+00:00,29795479.039448354774821141000000000000000000,90575178.766771714408353297000000000000000000,0.24753108093348555,0.7524689190665145,0.5
2022-03-15T00:00:00+00:00,32323000.092231224458642341000000000000000000,88338884.577586043774937255000000000000000000,0.26788078257422243,0.7321192174257776,0.5
2022-03-14T00:00:00+00:00,31754330.133543144390642341000000000000000000,88945123.374269879541548555000000000000000000,0.2630859478704073,0.7369140521295927,0.5
2022-03-13T00:00:00+00:00,33138822.173595016778405541000000000000000000,87622394.501957679273205455000000000000000000,0.27441610051535487,0.7255838994846452,0.5
2022-03-12T00:00:00+00:00,34115148.759684615079910841000000000000000000,87270841.763238465473698555000000000000000000,0.28104683755282417,0.7189531624471759,0.5
2022-03-11T00:00:00+00:00,33574721.390414512160150441000000000000000000,88056290.777391203329189155000000000000000000,0.2760375071457421,0.723962492854258,0.5
2022-03-10T00:00:00+00:00,44559525.748518692156833941000000000000000000,76814601.259825443063101955000000000000000000,0.36712540676362887,0.6328745932363712,0.5
2022-03-09T00:00:00+00:00,31540608.824138392314176912000000000000000000,89645000.237377067235712755000000000000000000,0.2602669497508401,0.7397330502491599,0.5
2022-03-08T00:00:00+00:00,17821685.845619700884085012000000000000000000,103319210.773283694872220155000000000000000000,0.14711535363391656,0.8528846463660834,0.5
2022-03-07T00:00:00+00:00,19542761.842763835706085012000000000000000000,102123056.044343863620881755000000000000000000,0.1606265603778486,0.8393734396221514,0.5
2022-03-06T00:00:00+00:00,19480938.151197186788395989000000000000000000,102867706.268191294962881755000000000000000000,0.15922479765627923,0.8407752023437208,0.5
2022-03-05T00:00:00+00:00,20306594.777178115735997389000000000000000000,102176492.982795111491788955000000000000000000,0.16579100958797183,0.8342089904120282,0.5
2022-03-04T00:00:00+00:00,19961284.776155491159645089000000000000000000,102665522.481054085632747255000000000000000000,0.16278075913928608,0.8372192408607139,0.5
2022-03-03T00:00:00+00:00,25619074.018868746644734789000000000000000000,97086596.419294562763225255000000000000000000,0.208784760536224,0.791215239463776,0.5
