time,crv3,mim,mim_p,crv3_p,ideal
2022-05-03T00:00:00+00:00,113070072.603258899162169398000000000000000000,764206279.274296144590631000000000000000000000,0.8711123668599235,0.12888763314007642,0.50
2022-05-02T00:00:00+00:00,114557176.557940315415456305000000000000000000,763348522.124985500886670200000000000000000000,0.8695108407089689,0.13048915929103116,0.50
2022-05-01T00:00:00+00:00,163761449.146780278253707705000000000000000000,787809862.810353597444289600000000000000000000,0.8279041758730981,0.17209582412690197,0.50
2022-04-30T00:00:00+00:00,164714926.808947188863486463000000000000000000,788182097.758293312348418960000000000000000000,0.8271429938783231,0.1728570061216769,0.50
2022-04-29T00:00:00+00:00,245843168.639127576616722663000000000000000000,796604520.559457387751417560000000000000000000,0.7641673810720159,0.23583261892798418,0.50
2022-04-28T00:00:00+00:00,245246747.067958842267553841000000000000000000,778731793.510065246263987171000000000000000000,0.7604962044131122,0.23950379558688786,0.50
2022-04-27T00:00:00+00:00,266562357.022487132343032941000000000000000000,756868357.948775714820585871000000000000000000,0.7395403976809783,0.26045960231902165,0.50
2022-04-26T00:00:00+00:00,277936177.756262158150288741000000000000000000,754836428.714742543342235571000000000000000000,0.7308834723008648,0.2691165276991352,0.50
2022-04-25T00:00:00+00:00,279559282.864655766184804622000000000000000000,757813156.649561176428790077000000000000000000,0.7305121360313289,0.2694878639686711,0.50
2022-04-24T00:00:00+00:00,284205319.035794992048609222000000000000000000,759253716.027328354510003777000000000000000000,0.7276315509419091,0.2723684490580909,0.50
2022-04-23T00:00:00+00:00,282138287.622159064172614117000000000000000000,759489248.042114993716019467000000000000000000,0.7291370687102354,0.2708629312897646,0.50
2022-04-22T00:00:00+00:00,293041170.884320657953573517000000000000000000,759177846.396560506814795867000000000000000000,0.7215017348369254,0.27849826516307463,0.50
2022-04-21T00:00:00+00:00,306839529.385922315692451817000000000000000000,744831892.055102237478863167000000000000000000,0.7082363149457045,0.29176368505429545,0.50
2022-04-20T00:00:00+00:00,316173283.109132604423954117000000000000000000,735302483.051564309717932067000000000000000000,0.6993052115089717,0.3006947884910282,0.50
2022-04-19T00:00:00+00:00,348535630.947793219468477417000000000000000000,708135028.858651169723258175000000000000000000,0.6701568007844221,0.3298431992155779,0.50
2022-04-18T00:00:00+00:00,343063447.059032691483930817000000000000000000,711730398.894874083697876175000000000000000000,0.6747578227015707,0.3252421772984293,0.50
2022-04-17T00:00:00+00:00,335927243.174891301327656817000000000000000000,719237659.385360710483684375000000000000000000,0.6816353137222462,0.31836468627775383,0.50
2022-04-16T00:00:00+00:00,348674230.940808345817418768000000000000000000,720536380.602077445463251775000000000000000000,0.6738956505139183,0.3261043494860817,0.50
2022-04-15T00:00:00+00:00,351765450.209951397275349368000000000000000000,721190127.507958064154675275000000000000000000,0.6721528295158982,0.3278471704841018,0.50
2022-04-14T00:00:00+00:00,344564024.342814133941646368000000000000000000,734165630.958805160680279275000000000000000000,0.6805835246584818,0.31941647534151824,0.50
2022-04-13T00:00:00+00:00,355876853.985709843542352668000000000000000000,739949170.177344742271380675000000000000000000,0.6752432903229201,0.32475670967707987,0.50
2022-04-12T00:00:00+00:00,344076217.183263658624133568000000000000000000,757989095.565660428091776275000000000000000000,0.6877896317006648,0.31221036829933524,0.50
2022-04-11T00:00:00+00:00,366247808.280798607818338768000000000000000000,749405081.546091123564579175000000000000000000,0.6717188548333994,0.32828114516660056,0.50
2022-04-10T00:00:00+00:00,277925811.773707728577560468000000000000000000,762220207.338861397246438875000000000000000000,0.7328011580423792,0.2671988419576207,0.50
2022-04-09T00:00:00+00:00,253634531.168734084968846725000000000000000000,771370411.172027229193416275000000000000000000,0.7525528700481,0.24744712995189996,0.50
2022-04-08T00:00:00+00:00,245042989.950982460322621184000000000000000000,778532529.102196125579311812000000000000000000,0.7606009665240425,0.23939903347595748,0.50
2022-04-07T00:00:00+00:00,257136488.436858517753821584000000000000000000,786495843.797638841555213312000000000000000000,0.7536139112456305,0.24638608875436951,0.50
2022-04-06T00:00:00+00:00,253305351.850649949307532942000000000000000000,796950273.912131444779431912000000000000000000,0.7588155248712152,0.24118447512878488,0.50
2022-04-05T00:00:00+00:00,233323565.312730813306483042000000000000000000,809535238.448029864948782012000000000000000000,0.7762654306879142,0.22373456931208582,0.50
2022-04-04T00:00:00+00:00,228563091.008039102472122542000000000000000000,819377388.630825000294940312000000000000000000,0.7818930602940299,0.2181069397059701,0.50
2022-04-03T00:00:00+00:00,225330414.516327414818361342000000000000000000,820254790.627995434669896112000000000000000000,0.7844934937796629,0.21550650622033707,0.50
2022-04-02T00:00:00+00:00,234626740.774026208584020542000000000000000000,846177560.808721958691434212000000000000000000,0.7829146863771408,0.2170853136228592,0.50
2022-04-01T00:00:00+00:00,229767364.641762551699282777000000000000000000,851787055.129576987271808901000000000000000000,0.7875582028592333,0.2124417971407667,0.50
2022-03-31T00:00:00+00:00,171639198.521112152911505319000000000000000000,848944793.517394562725590801000000000000000000,0.8318225644728354,0.16817743552716452,0.50
2022-03-30T00:00:00+00:00,90148799.162417540780402112000000000000000000,964137042.353952519582723701000000000000000000,0.9144930192434745,0.08550698075652549,0.50
2022-03-29T00:00:00+00:00,90077461.178344520532110112000000000000000000,1003400490.390949542647160501000000000000000000,0.9176229744284549,0.08237702557154512,0.50
2022-03-28T00:00:00+00:00,95290814.325105110915142827000000000000000000,986771467.951706663099108601000000000000000000,0.9119359246820804,0.08806407531791959,0.50
2022-03-27T00:00:00+00:00,84033551.869777565458984227000000000000000000,972610352.843658084115977501000000000000000000,0.9204712661522733,0.07952873384772674,0.50
2022-03-26T00:00:00+00:00,81978373.954499412438601277000000000000000000,968552150.826791201765286509000000000000000000,0.9219647863430085,0.0780352136569915,0.50
2022-03-25T00:00:00+00:00,87860708.449962002753918177000000000000000000,966251300.396635853633812009000000000000000000,0.9166495517434636,0.08335044825653641,0.50
2022-03-24T00:00:00+00:00,75335408.446953734927172677000000000000000000,1023125432.602596759789880709000000000000000000,0.9314173017082951,0.0685826982917049,0.50
2022-03-23T00:00:00+00:00,142472698.467525525023979877000000000000000000,1025818816.328111894523689709000000000000000000,0.8780503866858543,0.12194961331414571,0.50
2022-03-22T00:00:00+00:00,164988625.512980380766085512000000000000000000,1005422995.459621916159889709000000000000000000,0.8590336745154015,0.1409663254845985,0.50
2022-03-21T00:00:00+00:00,180027925.501173812256600212000000000000000000,982701549.677935701210042009000000000000000000,0.8451678319469437,0.15483216805305627,0.50
2022-03-20T00:00:00+00:00,207350516.130938445675610012000000000000000000,966777437.910798084895307009000000000000000000,0.8234004092848914,0.17659959071510856,0.50
2022-03-19T00:00:00+00:00,214227309.159505055457740212000000000000000000,968845859.836209327927251509000000000000000000,0.8189230262559686,0.18107697374403145,0.50
2022-03-18T00:00:00+00:00,227772907.599733221219482912000000000000000000,958041690.625884083259750009000000000000000000,0.8079186173449382,0.19208138265506186,0.50
2022-03-17T00:00:00+00:00,248131572.075088957000297212000000000000000000,937597296.095240072932323909000000000000000000,0.7907349827300949,0.20926501726990512,0.50
2022-03-16T00:00:00+00:00,264872591.775880116649904612000000000000000000,932670256.464925437015176809000000000000000000,0.7788199460545576,0.2211800539454424,0.50
2022-03-15T00:00:00+00:00,271678011.123829520520570379000000000000000000,925481169.611207437618003509000000000000000000,0.773064421594275,0.22693557840572504,0.50
