time,alusd,crv3,alusd_p,crv3_p,ideal
2021-09-17T00:00:00+00:00,231073232.786537651806297979000000000000000000,273543518.492204204499257264000000000000000000,0.4579182760005061,0.542081723999494,0.50
2021-09-16T00:00:00+00:00,230217337.505373678746051779000000000000000000,272252473.697215130536637679000000000000000000,0.45817148089828874,0.5418285191017113,0.50
2021-09-15T00:00:00+00:00,230042289.842633110426485179000000000000000000,235595156.850943009610715679000000000000000000,0.49403734917827163,0.5059626508217283,0.50
2021-09-14T00:00:00+00:00,230082112.077523729247525879000000000000000000,230713876.805108247927361779000000000000000000,0.49931448543083407,0.5006855145691659,0.50
2021-09-13T00:00:00+00:00,229831043.277044522858584679000000000000000000,210704643.148164578654692179000000000000000000,0.5217081166387267,0.4782918833612733,0.50
2021-09-12T00:00:00+00:00,229656140.844017959585631579000000000000000000,207269487.032836535725938879000000000000000000,0.5256183803179096,0.47438161968209036,0.50
2021-09-11T00:00:00+00:00,228966664.647133097503829179000000000000000000,211130101.534171803328724843000000000000000000,0.5202643651164812,0.4797356348835187,0.50
2021-09-10T00:00:00+00:00,228396473.755416871731498679000000000000000000,218226962.142942478832480502000000000000000000,0.5113848835451491,0.4886151164548509,0.50
2021-09-09T00:00:00+00:00,227939989.671991600310215979000000000000000000,230790648.257030412226614702000000000000000000,0.4968928840267697,0.5031071159732303,0.50
2021-09-08T00:00:00+00:00,228200352.960370042397211179000000000000000000,227228579.275146201000360856000000000000000000,0.5010668774164762,0.49893312258352385,0.50
2021-09-07T00:00:00+00:00,228251771.550629284109211179000000000000000000,234423942.461990919902837356000000000000000000,0.4933299169110989,0.506670083088901,0.50
2021-09-06T00:00:00+00:00,226951549.482263016074061179000000000000000000,229136092.377130232925854556000000000000000000,0.49760512816576086,0.5023948718342391,0.50
2021-09-05T00:00:00+00:00,226639527.804284127597691779000000000000000000,233126947.584765867300641456000000000000000000,0.4929448751401544,0.5070551248598456,0.50
2021-09-04T00:00:00+00:00,226537338.445769606206691779000000000000000000,241774563.245197552110950356000000000000000000,0.4837317557546479,0.5162682442453521,0.50
2021-09-03T00:00:00+00:00,222718931.190388693283341879000000000000000000,242066717.114464348926738261000000000000000000,0.479186334609685,0.5208136653903149,0.50
2021-09-02T00:00:00+00:00,222113871.400201381524341879000000000000000000,220411911.801156529618738261000000000000000000,0.5019230061429781,0.49807699385702187,0.50
2021-09-01T00:00:00+00:00,221704770.179870640106029779000000000000000000,217341576.232805921806194361000000000000000000,0.5049689446031326,0.49503105539686737,0.50
2021-08-31T00:00:00+00:00,221716909.960734754748527679000000000000000000,165503409.747850191547885648000000000000000000,0.5725859379683249,0.4274140620316751,0.50
2021-08-30T00:00:00+00:00,221036644.867507790428120979000000000000000000,158469432.140480692774310348000000000000000000,0.582432425351795,0.4175675746482051,0.50
