,date,Token,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
111,2021-01-01,BUSD,37.0,8475.0,11.0,12.0,13.0,233.1058973,12370821.06,100.0,-100.0,44360.68745
112,2021-01-01,BUSD,15.0,8438.0,10.0,14.0,17.0,88.32671466,12370587.95,63.49666733,0.0,44360.68745
113,2021-01-01,BUSD,39.0,8423.0,16.0,15.0,19.0,56.48964829,12370499.62,0.0,0.0,44297.19078
114,2021-01-01,BUSD,49.0,8384.0,13.0,12.0,16.0,150.0903877,12370443.13,68.4,0.0,44297.19078
115,2021-01-01,BUSD,99.0,8335.0,22.0,24.0,29.0,900.4966232,12370293.04,79.28617534,-183.2255429,44228.79078
116,2021-01-01,BUSD,317.0,8236.0,31.0,38.0,41.0,1184.970552,12369392.55,90.0,0.0,44332.73015
117,2021-01-01,BUSD,11.0,7919.0,7.0,8.0,11.0,34.66255476,12368207.58,10.88077972,0.0,44242.73015
118,2021-01-01,BUSD,8.0,7908.0,5.0,5.0,6.0,9.426897644,12368172.91,0.0,0.0,44231.84937
119,2021-01-01,BUSD,14.0,7900.0,10.0,15.0,17.0,22.00340437,12368163.49,0.0,0.0,44231.84937
120,2021-01-01,BUSD,36.0,7886.0,14.0,16.0,18.0,51884.38433,12368141.48,25916.71384,-25916.71384,44231.84937
121,2021-01-01,BUSD,88.0,7850.0,16.0,16.0,18.0,119.0575606,12316257.1,0.0,0.0,44231.84937
122,2021-01-01,BUSD,7.0,7762.0,6.0,5.0,8.0,4.595131071,12316138.04,0.0,0.0,44231.84937
123,2021-01-01,BUSD,13.0,7755.0,12.0,16.0,17.0,23240.58467,12316133.45,7739.220451,-7738.220451,44231.84937
124,2021-01-01,BUSD,12.0,7742.0,10.0,9.0,12.0,10.18128671,12292892.86,1.0,-1.0,44230.84937
125,2021-01-01,BUSD,13.0,7730.0,8.0,9.0,11.0,977.2999739,12292882.68,484.8665101,-484.8665101,44230.84937
126,2021-01-01,BUSD,20.0,7717.0,12.0,9.0,14.0,41.31230709,12291905.38,0.0,0.0,44230.84937
127,2021-01-01,BUSD,168.0,7697.0,22.0,26.0,28.0,1781.185104,12291864.07,300.0,0.0,44230.84937
128,2021-01-01,BUSD,12.0,7529.0,5.0,6.0,9.0,42.76215676,12290082.88,0.0,0.0,43930.84937
129,2021-01-01,BUSD,28.0,7517.0,14.0,16.0,19.0,5252.466035,12290040.12,1737.473375,-1737.473375,43930.84937
130,2021-01-01,BUSD,44.0,7489.0,15.0,18.0,20.0,92.92130423,12284787.65,5.0,0.0,43930.84937
131,2021-01-01,BUSD,10.0,7445.0,8.0,10.0,11.0,85.03763714,12284694.73,0.0,0.0,43925.84937
132,2021-01-01,BUSD,19.0,7435.0,7.0,8.0,12.0,69.88643241,12284609.7,50.2248347,0.0,43925.84937
133,2021-01-01,BUSD,1.0,7416.0,1.0,1.0,2.0,0.4160361,12284539.81,0.0,0.0,43875.62454
134,2021-01-01,BUSD,18.0,7415.0,11.0,10.0,13.0,35.23835145,12284539.39,0.0,0.0,43875.62454
135,2021-01-01,BUSD,14.0,7397.0,8.0,9.0,11.0,156.5872504,12284504.15,0.0,0.0,43875.62454
136,2021-01-01,BUSD,16.0,7383.0,9.0,6.0,10.0,292.9440773,12284347.57,0.0,0.0,43875.62454
137,2021-01-01,BUSD,110.0,7367.0,15.0,16.0,17.0,1850.307282,12284054.62,218.1647882,-119.141762,43875.62454
138,2021-01-01,BUSD,11.0,7257.0,7.0,6.0,8.0,7.734712322,12282204.32,0.0,0.0,43776.60151
139,2021-01-01,BUSD,31.0,7246.0,11.0,13.0,15.0,269.223279,12282196.58,0.0,0.0,43776.60151
