date,pool_name,ideal,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,alusd,crv3,alusd_p,crv3_p,cvxcrv,crv,cvxcrv_p,crv_p,usdc,dai,usdt,usdc_p,dai_p,usdt_p,fei,fei_p,frax,frax_p,total,lusd,lusd_p,mim,mim_p,ust,ust_p,wbtc,renbtc,wbtc_p,renbtc_p,sbtc,sbtc_p,susd,susd_p,wust,protocol,chain
2020-05-28,renbtc:wbtc,0.5,renbtc,1.51944553,wbtc,0.83347089,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.83347089,1.51944553,0.3542288552689007,0.6457711447310993,,,,,,Curve,Ethereum
2020-05-28,susd:usdc-usdt-dai,0.5,susd,4017677.4111667057,crv3,2510131.519159491,n/a,0,,2510131.519159491,,0.3845289508242483,,,,,,,,,,,,,,,,,,,,,,,,,,,,4017677.4111667057,0.6154710491757517,,Curve,Ethereum
2020-05-29,susd:usdc-usdt-dai,0.5,susd,3958335.8591243033,crv3,2552294.6159096695,n/a,0,,2552294.6159096695,,0.3920195787023762,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958335.8591243033,0.6079804212976238,,Curve,Ethereum
2020-05-29,renbtc:wbtc,0.5,renbtc,13.03603879,wbtc,10.93333453,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,10.93333453,13.03603879,0.4561376880419834,0.5438623119580166,,,,,,Curve,Ethereum
2020-05-30,susd:usdc-usdt-dai,0.5,susd,3727526.5340424487,crv3,2705966.5095490487,n/a,0,,2705966.5095490487,,0.4206061141613426,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727526.5340424487,0.5793938858386574,,Curve,Ethereum
2020-05-30,renbtc:wbtc,0.5,renbtc,21.46057765,wbtc,12.92040381,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.92040381,21.46057765,0.3758009010019692,0.6241990989980307,,,,,,Curve,Ethereum
2020-05-31,susd:usdc-usdt-dai,0.5,susd,3705115.92459198,crv3,2621322.965362572,n/a,0,,2621322.965362572,,0.4143441533158322,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705115.92459198,0.5856558466841678,,Curve,Ethereum
2020-05-31,renbtc:wbtc,0.5,renbtc,22.09402271,wbtc,13.53833922,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.53833922,22.09402271,0.3799450411565799,0.6200549588434201,,,,,,Curve,Ethereum
2020-06-01,susd:usdc-usdt-dai,0.5,susd,3618493.923143488,crv3,2761272.4434527694,n/a,0,,2761272.4434527694,,0.4328171730410823,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618493.923143488,0.5671828269589176,,Curve,Ethereum
2020-06-01,renbtc:wbtc,0.5,renbtc,22.75616476,wbtc,13.10937031,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.10937031,22.75616476,0.3655144216979892,0.6344855783020108,,,,,,Curve,Ethereum
