date,pool_name,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,token_4,token_4_balance,TVL,chain,protocol,protocol_version,daily_revenue
2021-10-22,av3CRV:WETH:BTC,av3CRV,25090656.04,WETH,25466956.09,BTC,51525612.85,n/a,0,102083224.97999999,Avalanche,Curve,V2,n/a
2021-10-23,av3CRV:BTC:WETH,av3CRV,26392857.42,BTC,862.8057267,WETH,6321.692619,n/a,0,26400041.9183457,Avalanche,Curve,V2,n/a
2021-10-23,av3CRV:WETH:BTC,av3CRV,26392857.42,WETH,25411288.28,BTC,52770771.4,n/a,0,104574917.1,Avalanche,Curve,V2,n/a
2021-10-23,avDAI:avUSDC:avUSDT,avDAI,144598696.7,avUSDC,219327582.8,avUSDT,194179761.5,n/a,0,558106041.0,Avalanche,Curve,V2,n/a
2021-10-24,av3CRV:WETH:BTC,av3CRV,25827760.78,WETH,25664795.01,BTC,51626231.43,n/a,0,103118787.22,Avalanche,Curve,V2,n/a
2021-10-24,av3CRV:BTC:WETH,av3CRV,25827760.78,BTC,846.5768396,WETH,6303.14377,n/a,0,25834910.500609603,Avalanche,Curve,V2,n/a
2021-10-24,avDAI:avUSDC:avUSDT,avDAI,147850745.8,avUSDC,209435852.3,avUSDT,193259827.7,n/a,0,550546425.8,Avalanche,Curve,V2,n/a
2021-10-25,av3CRV:WETH:BTC,av3CRV,26683034.84,WETH,26164058.15,BTC,52872340.77,n/a,0,105719433.75999999,Avalanche,Curve,V2,n/a
2021-10-25,avDAI:avUSDC:avUSDT,avDAI,162506888.5,avUSDC,205100797.5,avUSDT,193894621.1,n/a,0,561502307.1,Avalanche,Curve,V2,n/a
2021-10-25,av3CRV:BTC:WETH,av3CRV,26683034.84,BTC,844.6757409,WETH,6333.097943,n/a,0,26690212.6136839,Avalanche,Curve,V2,n/a
2021-10-26,av3CRV:WETH:BTC,av3CRV,26084021.01,WETH,27080107.38,BTC,55107440.07,n/a,0,108271568.46000001,Avalanche,Curve,V2,n/a
2021-10-26,av3CRV:BTC:WETH,av3CRV,26084021.01,BTC,868.4110975,WETH,6386.689324,n/a,0,26091276.1104215,Avalanche,Curve,V2,n/a
2021-10-26,avDAI:avUSDC:avUSDT,avDAI,172510721.0,avUSDC,205838768.4,avUSDT,191625294.2,n/a,0,569974783.5999999,Avalanche,Curve,V2,n/a
2021-10-27,av3CRV:BTC:WETH,av3CRV,25293615.11,BTC,870.3489497,WETH,6506.225465,n/a,0,25300991.6844147,Avalanche,Curve,V2,n/a
2021-10-27,av3CRV:WETH:BTC,av3CRV,25293615.11,WETH,26656322.46,BTC,52341473.45,n/a,0,104291411.02000001,Avalanche,Curve,V2,n/a
2021-10-27,avDAI:avUSDC:avUSDT,avDAI,182831472.3,avUSDC,215619871.5,avUSDT,171902786.0,n/a,0,570354129.8,Avalanche,Curve,V2,n/a
2021-10-28,av3CRV:WETH:BTC,av3CRV,26189964.92,WETH,25060151.08,BTC,52408174.51,n/a,0,103658290.50999999,Avalanche,Curve,V2,n/a
2021-10-28,av3CRV:BTC:WETH,av3CRV,26189964.92,BTC,868.5843797,WETH,6105.367258,n/a,0,26196938.871637702,Avalanche,Curve,V2,n/a
2021-10-28,avDAI:avUSDC:avUSDT,avDAI,187747678.7,avUSDC,227514021.3,avUSDT,169799724.7,n/a,0,585061424.7,Avalanche,Curve,V2,n/a
2021-10-29,av3CRV:BTC:WETH,av3CRV,26905623.74,BTC,869.466831,WETH,6119.928546,n/a,0,26912613.135376997,Avalanche,Curve,V2,n/a
2021-10-29,av3CRV:WETH:BTC,av3CRV,26905623.74,WETH,26600327.23,BTC,53636000.36,n/a,0,107141951.33,Avalanche,Curve,V2,n/a
2021-10-29,avDAI:avUSDC:avUSDT,avDAI,197183621.6,avUSDC,210006733.8,avUSDT,155454023.1,n/a,0,562644378.5,Avalanche,Curve,V2,n/a
2021-10-30,av3CRV:BTC:WETH,av3CRV,28824506.78,BTC,935.5709596,WETH,6646.18065,n/a,0,28832088.531609602,Avalanche,Curve,V2,n/a
2021-10-30,avDAI:avUSDC:avUSDT,avDAI,199083069.4,avUSDC,211935660.4,avUSDT,162039207.5,n/a,0,573057937.3,Avalanche,Curve,V2,n/a
2021-10-30,av3CRV:WETH:BTC,av3CRV,28824506.78,WETH,28693042.26,BTC,57744996.51,n/a,0,115262545.55000001,Avalanche,Curve,V2,n/a
2021-10-31,avDAI:avUSDC:avUSDT,avDAI,206991476.8,avUSDC,204662088.8,avUSDT,153211061.1,n/a,0,564864626.7,Avalanche,Curve,V2,n/a
2021-10-31,av3CRV:BTC:WETH,av3CRV,28729105.94,BTC,931.1733273,WETH,6680.72869,n/a,0,28736717.8420173,Avalanche,Curve,V2,n/a
2021-10-31,av3CRV:WETH:BTC,av3CRV,28729105.94,WETH,28527736.35,BTC,57012191.38,n/a,0,114269033.67000002,Avalanche,Curve,V2,n/a
2021-11-01,av3CRV:BTC:WETH,av3CRV,28727552.97,BTC,940.5837044,WETH,6634.791465,n/a,0,28735128.3451694,Avalanche,Curve,V2,n/a
2021-11-01,av3CRV:WETH:BTC,av3CRV,28727552.97,WETH,28586538.1,BTC,57688280.52,n/a,0,115002371.59,Avalanche,Curve,V2,n/a
2021-11-01,avDAI:avUSDC:avUSDT,avDAI,216735718.8,avUSDC,194394260.8,avUSDT,157190043.5,n/a,0,568320023.1,Avalanche,Curve,V2,n/a
2021-11-02,avDAI:avUSDC:avUSDT,avDAI,220901127.7,avUSDC,200795782.0,avUSDT,150965067.5,n/a,0,572661977.2,Avalanche,Curve,V2,n/a
2021-11-02,av3CRV:WETH:BTC,av3CRV,29683452.35,WETH,28602200.99,BTC,59134068.92,n/a,0,117419722.26,Avalanche,Curve,V2,n/a
2021-11-02,av3CRV:BTC:WETH,av3CRV,29683452.35,BTC,945.3043102,WETH,6460.641859,n/a,0,29690858.2961692,Avalanche,Curve,V2,n/a
