id,blockNumber,timestamp,totalValueLockedUSD,protocolControlledValueUSD,mintedTokenSupplies,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,totalDepositBalanceUSD,totalBorrowBalanceUSD,dailyDepositUSD,dailyBorrowUSD,dailyLiquidateUSD,dailyWithdrawUSD,dailyRepayUSD,date,version,chain,instance,protocol
19017,14077864,1643154748,10826743954.37523219252001740862881,,,369407.92040532174956667763316755,51819.06454463898868372150390845,421226.984949960738250399137076,10826743954.37523219252001740862881,4152315445.517051809520490866686375,203221450.415857386122800264480547,179537972.400095755026612872153708,2908289.763764974474012551805312378,83476115.198606443500396246957549,234677426.912038414159627947118208,2022-01-25,V2,Ethereum,compound_ethereum,Compound
19018,14084313,1643241315,10585361810.62280129104052638476736,,,362929.8243412405946864704541214,49722.2168821422622846016962106,412652.041223382856971072150332,10585361810.62280129104052638476736,4096256247.400441830714920381372784,85146535.621211833638726425694705,60761915.413596513289467088347043,0,369248135.217016110103323690158067,118780221.891729523287500208754148,2022-01-26,V2,Ethereum,compound_ethereum,Compound
19019,14090825,1643327980,10525633324.7718120677273802548554,,,360695.82818549270506724323627755,49436.83269289322435488274540645,410132.660878385929422125981684,10525633324.7718120677273802548554,4163925488.215530570421914693411105,138832253.241199141193206394589963,85470918.84096127851683961393365,14067.48685491759744340159006428939,107800132.340665771473286720677121,12566353.913997974157635603549186,2022-01-27,V2,Ethereum,compound_ethereum,Compound
19020,14097290,1643414273,10533968948.49397049142314611362745,,,357550.99215843422819684135535305,49926.19825516147959964212460195,407477.190413595707796483479955,10533968948.49397049142314611362745,4065629081.667852906931354300948471,159397844.127865566203899479369617,8751700.7497849591017509356,1036.6539837259989539336475668171,373465710.369259449323315463709546,119909922.766944171363243330938004,2022-01-28,V2,Ethereum,compound_ethereum,Compound
19021,14103754,1643500681,10696466291.96915485641319613809484,,,392156.179977833984411708520101,53191.715433275582798968965559,445347.89541110956721067748566,10696466291.96915485641319613809484,4105607259.968988500884986188565634,118852644.076133708184152441013143,67237155.44459071133455087470407,8281.376574300282359936301062,36471882.972817186858246472849463,34956706.590318178525089679260648,2022-01-29,V2,Ethereum,compound_ethereum,Compound
19022,14110275,1643586885,10685863231.7464063519374668948451,,,353161.82305822733613487364828645,49193.33058828137729547906642055,402355.153646508713430352714707,10685863231.7464063519374668948451,4091394628.426347190051454110089881,76725972.281927210283963346448458,45170814.863547332177543191803205,0,82108156.273444411552234725408732,58711799.332029763913957636559302,2022-01-30,V2,Ethereum,compound_ethereum,Compound
19023,14116702,1643672775,10574957321.31546122113257765971501,,,380583.09842054599084546768113875,51442.28516950839984625724723625,432025.383590054390691724928375,10574957321.31546122113257765971501,4003425533.976922961860278348526652,284281537.637571883442239548364824,144392033.696012499379058900004103,20662.08062609377372330194107475393,508895169.213390215478548281710174,236822634.268169522075865666794544,2022-01-31,V2,Ethereum,compound_ethereum,Compound
19023,14116702,1643672775,10574957321.31546122113257765971501,,,380583.09842054599084546768113875,51442.28516950839984625724723625,432025.383590054390691724928375,10574957321.31546122113257765971501,4003425533.976922961860278348526652,284281537.637571883442239548364824,144392033.696012499379058900004103,20662.08062609377372330194107475393,508895169.213390215478548281710174,236822634.268169522075865666794544,2022-01-31,V2,Ethereum,compound_ethereum,Compound
19024,14123256,1643759931,10666119578.87642482759189312899897,,,363764.8494478829743030635939507,49643.5523012207226968034308833,413408.401749103696999867024834,10666119578.87642482759189312899897,4018422862.872751483806551642661345,415076029.94524129311831000453116,161138960.020642475923735930626556,0,475159197.871914302725251144255344,156068592.123940182006604504302813,2022-02-01,V2,Ethereum,compound_ethereum,Compound
19025,14129704,1643846209,10629491985.16617257252862601265186,,,379390.45977182636413379124230335,51979.50901429911916464136042765,431369.968786125483298432602731,10629491985.16617257252862601265186,4050475272.632659663720809852993001,410207159.957284009161968082964805,152808574.165275864037410570543075,446515.5908191300301234873120417463,274103532.512312395808782557851032,111104281.742632502606277419082266,2022-02-02,V2,Ethereum,compound_ethereum,Compound
19026,14136137,1643932788,10713111704.51166569940663830957938,,,342386.5848020720777472927243245,46444.2608982193990018979319585,388830.845700291476749190656283,10713111704.51166569940663830957938,4050243591.426532283556859198196944,388357404.988709952880772592929647,92113381.38613166653653598834964,10080.5440371884222031613040900603,242349744.849997486757461175831143,89129377.333158561617912069871437,2022-02-03,V2,Ethereum,compound_ethereum,Compound
19027,14142688,1644019120,11257273483.89139724191868439016672,,,372415.0011083055768457523730696,48931.0771277615727782904275504,421346.07823606714962404280062,11257273483.89139724191868439016672,4070169748.173591725483126388806943,68716800.416695556985482410873787,27195097.833172092996118419216158,979.3511238431954350700880851475644,35635771.219696299049357945426377,27264847.703337260899564894543475,2022-02-04,V2,Ethereum,compound_ethereum,Compound
19028,14149081,1644105595,11398417798.32213958250002899570989,,,352905.8397024499385948796136149,47995.0631245734364237068216161,400900.902827023375018586435231,11398417798.32213958250002899570989,4067855503.690704136808371862377745,52804408.273433554475626628266324,13757473.936209031917173821144821,17304.24750960419558557298614402219,18305444.064228651363736571117203,20979853.16374143924535278296013,2022-02-05,V2,Ethereum,compound_ethereum,Compound
19029,14155616,1644191960,11484739606.13112125675840208778225,,,351266.81793388642206839969476575,46920.63933658967560323043715625,398187.457270476097671630131922,11484739606.13112125675840208778225,4092923602.406862100082604202315768,42454945.73193391592676957683549,35355155.390617298806979598,3104.652424977838705705259247189591,21314851.543804315283570176823309,12301981.756025423784534053037393,2022-02-06,V2,Ethereum,compound_ethereum,Compound
