id,blockNumber,timestamp,totalValueLockedUSD,protocolControlledValueUSD,mintedTokenSupplies,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,totalDepositBalanceUSD,totalBorrowBalanceUSD,dailyDepositUSD,dailyBorrowUSD,dailyLiquidateUSD,dailyWithdrawUSD,dailyRepayUSD,date,version,chain,instance,protocol
19188,15150363,1657929585,5581642088.502683033611980070815194,,,96016.69938518728031323322610259842,8800.780555587894297424169196351197,104817.4799407751746106573952989496,5581642088.502683033611980070815194,1526705887.916304289225897271740278,294043619.224955340555340914151875,55156204.40207110728444881747981601,11780.50313542332693475460013619589,319830734.9057687733680383390431912,11440188.514438209513974003638799,2022-07-15,V2,Ethereum,aave_v2_ethereum,Aave
19189,15156811,1658015970,5789529837.835248637162670843359671,,,94883.1573163497644024822133369754,9016.819971967793927051404941402026,103899.9772883175583295336182783775,5789529837.835248637162670843359671,1566706578.685453395205800736895301,67251128.12913545888170570885755916,44247152.51270530837376068412245829,2225828.526256817919750410042047032,38601697.65080994897765223392085445,3338625.877627497714096877550150705,2022-07-16,V2,Ethereum,aave_v2_ethereum,Aave
19190,15163235,1658102356,5782567151.650931599550949236370302,,,91092.12372504285916668347793283503,8956.787886055369414857964063881207,100048.9116110982285815414419967162,5782567151.650931599550949236370302,1578630467.955022174317537560532263,48166479.2815708595648844280619841,32704308.18204609446518419402222208,11659.75530316451092004985445787888,33728278.16671055331243114614118227,2423321.962281600252614740525115973,2022-07-17,V2,Ethereum,aave_v2_ethereum,Aave
19191,15169692,1658188722,6190075566.888208288983507553421219,,,105092.8592438477673749758141580882,9910.392264272073136487893692724525,115003.2515081198405114637078508124,6190075566.888208288983507553421219,1686603656.596601869161116227805645,167896133.6130211675872450953797508,68804338.59581375718412965920487857,21625.81119507111287282370394680723,111475672.8261450960443705285441422,6161549.734174990157833133693852865,2022-07-18,V2,Ethereum,aave_v2_ethereum,Aave
19192,15176169,1658275146,6133861236.74061244302796560842393,,,107728.0859054921424473796390976924,10030.23428529576322125714398965056,117758.3201907879056686367830873426,6133861236.74061244302796560842393,1657150790.600000577553968202971795,105333512.7747052007960404355423487,74656644.98561512295755546413756383,136169.2395955160369843678953353521,125979988.618606725550135494152446,2949641.011713735471016885739381942,2022-07-19,V2,Ethereum,aave_v2_ethereum,Aave
19193,15182592,1658361384,6017431963.552291095751475803589095,,,115990.5639988779774660497513243049,11661.72764380734473311001379389127,127652.2916426853221991597651181969,6017431963.552291095751475803589095,1637682830.922354927085169469143842,83586784.91844477118896963023564951,22903695.090518241666484433577264,5821.815970971799151338935303142127,106189083.2285533542439517533004116,499685.1409536504637663536860334625,2022-07-20,V2,Ethereum,aave_v2_ethereum,Aave
19194,15189081,1658447891,6159524107.965729856295779083803951,,,112864.2599156712819063297138420107,11144.66807131503800026752821319427,124008.9279869863199065972420552048,6159524107.965729856295779083803951,1680345400.576137956898578475448798,94830866.00332199803426895082700541,35078081.21849813717853921646341967,3122.006156553779064732502983111966,54979311.4119706009205601489296926,173012.5302306501185162788563369261,2022-07-21,V2,Ethereum,aave_v2_ethereum,Aave
19195,15195551,1658534349,6185374773.666690513260230254748727,,,104180.4783277270523815360285737064,10490.33405928407928267338754919171,114670.8123870111316642094161228975,6185374773.666690513260230254748727,1681376403.761773265150687383375368,265799400.7868428602062684659792832,62316568.55302679948077141401278086,100947.2458738951218017747812182897,118040327.7378486793710667783769582,922839.8478802588616681726264652648,2022-07-22,V2,Ethereum,aave_v2_ethereum,Aave
19196,15202010,1658620789,6209832659.718693269738504778400513,,,97014.59226869916981577616684850923,9345.341190604053775637393980853287,106359.9334593032235914135608293621,6209832659.718693269738504778400513,1691923626.277347989332032232589569,85330621.52024540282219773888650578,29226039.40785941050188445830825016,17306.91085925952059286177797999977,31893509.97685243104540595568759215,1805496.57748578855535909814025215,2022-07-23,V2,Ethereum,aave_v2_ethereum,Aave
19197,15208409,1658707163,6315843753.325211254713842143724147,,,101385.704001115259016800047131852,9992.635182984663033838726304098903,111378.3391840999220506387734359506,6315843753.325211254713842143724147,1709357042.712496464037807468991282,48038727.83920577500958534486213667,23430672.63325760381311087573350295,12552.27464776413049995472478035603,49171306.80773704367985117398325025,939749.6621400445303506811156441625,2022-07-24,V2,Ethereum,aave_v2_ethereum,Aave
