,Date,Timestamp,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance
,13/12/2021,1639353600,,9998095.053945137,9998095.053945137,,,3502047.9245329616,2780431.1404141774,1584039.5347822395,2131576.454215758,,,,,,,,,,,,,,3502047.9245329616,2780431.1404141774,1584039.5347822395,2131576.454215758,,,,,,,,,,,,,,,,3502709.936711,2785235.671948288,1586927.743275,2131576.454215758,,,,,,,,,,,,,,3502709.936711,2785235.671948288,1586927.743275,2131576.454215758,,,,,,,,,,,,,,
,14/12/2021,1639440000,,9992813.710491315,9992813.710491315,,,3018788.588705372,2758689.9871533774,2153977.857666182,2061357.276966383,,,,,,,,,,,,,,3018788.588705372,2758689.9871533774,2153977.857666182,2061357.276966383,,,,,,,,,,,,,,,,3023635.476374,2761899.314156427,2159125.212172,2061357.276966383,,,,,,,,,,,,,,3023635.476374,2761899.314156427,2159125.212172,2061357.276966383,,,,,,,,,,,,,,
,15/12/2021,1639526400,,9994784.82501173,9994784.82501173,,,3037468.5756524866,2793183.104012373,2163494.160396,2000638.9849508705,,,,,,,,,,,,,,3037468.5756524866,2793183.104012373,2163494.160396,2000638.9849508705,,,,,,,,,,,,,,,,3038878.61533,2803300.2144864546,2163494.160396,2000638.9849508705,,,,,,,,,,,,,,3038878.61533,2803300.2144864546,2163494.160396,2000638.9849508705,,,,,,,,,,,,,,
,16/12/2021,1639612800,,10006318.450149395,10006318.450149395,,,2943546.239861292,2877438.5030687666,2263438.840197,1921894.8670223353,,,,,,,,,,,,,,2943546.239861292,2877438.5030687666,2263438.840197,1921894.8670223353,,,,,,,,,,,,,,,,2943669.873996,2877544.972232739,2263438.840197,1921894.8670223353,,,,,,,,,,,,,,2943669.873996,2877544.972232739,2263438.840197,1921894.8670223353,,,,,,,,,,,,,,
,17/12/2021,1639699200,,9988602.111929417,9988602.111929417,,,2965952.260203407,3056132.755321698,2081385.4693506258,1885131.627053687,,,,,,,,,,,,,,2965952.260203407,3056132.755321698,2081385.4693506258,1885131.627053687,,,,,,,,,,,,,,,,2966278.550844,3056808.3099581986,2089650.03524,1885131.627053687,,,,,,,,,,,,,,2966278.550844,3056808.3099581986,2089650.03524,1885131.627053687,,,,,,,,,,,,,,
,18/12/2021,1639785600,,10005629.88318555,10005629.88318555,,,2825037.9240247183,3096604.207999721,2183942.289245564,1900045.4619155463,,,,,,,,,,,,,,2825037.9240247183,3096604.207999721,2183942.289245564,1900045.4619155463,,,,,,,,,,,,,,,,2825475.872785,3096604.207999721,2184864.301981,1900045.4619155463,,,,,,,,,,,,,,2825475.872785,3096604.207999721,2184864.301981,1900045.4619155463,,,,,,,,,,,,,,
,19/12/2021,1639872000,,10006963.12250955,10006963.12250955,,,2634138.867059,3042992.9397210996,2364587.841895,1965243.47383445,,,,,,,,,,,,,,2634138.867059,3042992.9397210996,2364587.841895,1965243.47383445,,,,,,,,,,,,,,,,2634138.867059,3042992.9397210996,2364587.841895,1965243.47383445,,,,,,,,,,,,,,2634138.867059,3042992.9397210996,2364587.841895,1965243.47383445,,,,,,,,,,,,,,
,20/12/2021,1639958400,,10026911.894307986,10026911.894307986,,,2652712.007158,3001875.818979665,2364159.245706,2008164.8224643213,,,,,,,,,,,,,,2652712.007158,3001875.818979665,2364159.245706,2008164.8224643213,,,,,,,,,,,,,,,,2652712.007158,3001875.818979665,2364159.245706,1988282.002439922,,,,,,,,,,,,,,2652712.007158,3001875.818979665,2364159.245706,1988282.002439922,,,,,,,,,,,,,,
,21/12/2021,1640044800,,10002829.295984106,10002829.295984106,,,2834931.199861,3032431.453861095,2320560.963426,1814905.6788360127,,,,,,,,,,,,,,2834931.199861,3032431.453861095,2320560.963426,1814905.6788360127,,,,,,,,,,,,,,,,2834931.199861,3032431.453861095,2320560.963426,1814905.6788360127,,,,,,,,,,,,,,2834931.199861,3032431.453861095,2320560.963426,1814905.6788360127,,,,,,,,,,,,,,
,22/12/2021,1640131200,,10007021.121040778,10007021.121040778,,,2878218.028216,3038158.76892321,2213355.493554,1877288.8303475683,,,,,,,,,,,,,,2878218.028216,3038158.76892321,2213355.493554,1877288.8303475683,,,,,,,,,,,,,,,,2878218.028216,3038158.76892321,2213355.493554,1877288.8303475683,,,,,,,,,,,,,,2878218.028216,3038158.76892321,2213355.493554,1877288.8303475683,,,,,,,,,,,,,,
